pref,moderator,estimate,se,tval,ci_lb,ci_ub,pval
risk,(Intercept),0.5,0.046,10.759,0.409,0.592,0
risk,yi,-0.074,0.153,-0.484,-0.376,0.227,0.629
risk,num_dec_available,0.142,0.025,5.632,0.093,0.192,0
time,(Intercept),0.442,0.037,11.929,0.369,0.515,0
time,yi,0.067,0.086,0.775,-0.102,0.235,0.439
time,num_dec_available,0.293,0.021,14.232,0.253,0.334,0
social,(Intercept),0.261,0.098,2.662,0.065,0.457,0.01
social,yi,0.252,0.248,1.016,-0.245,0.749,0.314
social,num_dec_available,0.564,0.102,5.506,0.359,0.769,0
effort,(Intercept),0.518,0.121,4.283,0.268,0.768,0
effort,yi,0.303,0.241,1.259,-0.195,0.801,0.221
effort,num_dec_available,0.636,0.136,4.69,0.356,0.917,0
