first_author,year_of_publication,yi,vi,cit_count,n_incl_es,year,no_link,year_of_pub_chr,preference
Deakin,2004,-0.24,0.005046123636363634,9,177,2005,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,9,177,2006,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,12,177,2007,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,20,177,2008,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,13,177,2009,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,25,177,2010,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,16,177,2011,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,28,177,2012,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,24,177,2013,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,28,177,2014,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,35,177,2015,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,29,177,2016,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,24,177,2017,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,27,177,2018,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,27,177,2019,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,23,177,2020,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,29,177,2021,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,29,177,2022,FALSE,2004,risk
Deakin,2004,-0.24,0.005046123636363634,0,177,2004,FALSE,2004,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,2,36,1998,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,1,36,1999,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,1,36,2000,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,1,36,2001,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,2,36,2002,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,3,36,2003,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,5,36,2004,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,4,36,2005,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,8,36,2006,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,7,36,2007,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,5,36,2008,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,6,36,2009,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,9,36,2010,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,7,36,2011,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,11,36,2012,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,5,36,2013,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,8,36,2014,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,13,36,2015,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,10,36,2016,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,4,36,2017,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,8,36,2018,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,5,36,2019,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,5,36,2020,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,6,36,2021,FALSE,1998,risk
Dror,1998,-0.13928563447949927,0.01605725973407794,6,36,2022,FALSE,1998,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,1,112,2010,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,13,112,2011,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,16,112,2012,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,17,112,2013,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,23,112,2014,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,21,112,2015,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,20,112,2016,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,15,112,2017,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,11,112,2018,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,17,112,2019,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,23,112,2020,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,13,112,2021,FALSE,2010,risk
Henninger,2010,0.1006074779616972,0.004591499542157428,16,112,2022,FALSE,2010,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,3,76,2002,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,6,76,2003,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,5,76,2004,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,13,76,2005,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,8,76,2006,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,11,76,2007,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,12,76,2008,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,9,76,2009,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,16,76,2010,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,24,76,2011,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,35,76,2012,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,33,76,2013,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,51,76,2014,FALSE,2001,risk
Lauriola,2001,-0.013690934968768123,0.009134654454495158,42,76,2015,FALSE,2001,risk
