"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7J7WN8MV","journalArticle","2020","Bailey, Phoebe E; Brady, Brooke; Ebner, Natalie C; Ruffman, Ted","Effects of Age on Emotion Regulation, Emotional Empathy, and Prosocial Behavior","The Journals of Gerontology: Series B","","1079-5014","10.1093/geronb/gby084","https://doi.org/10.1093/geronb/gby084","The degree to which older adults experience emotional empathy and show subsequent prosocial behavior versus experience personal distress in response to another’s distress remains unclear.Young (n = 40; 17–29 years) and older (n = 39; 61–82 years) adults watched videos of individuals expressing pain or no pain. Pain mimicry was recorded using facial electromyography. Participants were then asked if they would spend the remaining time helping the experimenter. Self-reported tendency to suppress or reappraise emotion was assessed, as well as trait and state emotional empathy and personal distress.Pain mimicry was associated with reduced trait suppression in older adults. In both age groups, greater emotional empathy, averaged across video condition, was associated with increased helping. In addition, relative to young adults, older adults reported more personal distress and emotional reactivity in response to the videos but were just as willing to help. They also put more effort into helping.These findings contribute to clarification of mixed previous evidence regarding the experience of emotional empathy in young versus older adulthood. We discuss the importance of considering additional subcomponents of empathy such as emotion regulation, while also accounting for the relevance of the empathy induction to each age group.","2020-03-09","2022-03-11 12:59:09","2022-03-11 12:59:09","2022-03-11 12:59:09","802-810","","4","75","","The Journals of Gerontology: Series B","","","","","","","","","","","","","Silverchair","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=02mKhmkAAAAJ&amp;citation_for_view=02mKhmkAAAAJ:NaGl4SEjCO4C</p>","/Users/abagaini/Zotero/storage/VN9P8TVV/Bailey et al. - 2020 - Effects of Age on Emotion Regulation, Emotional Em.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWNV2UNP","journalArticle","2013","Bailey, Phoebe E.; Ruffman, Ted; Rendell, Peter G.","Age-Related Differences in Social Economic Decision Making: The Ultimatum Game","The Journals of Gerontology: Series B","","1079-5014","10.1093/geronb/gbs073","https://doi.org/10.1093/geronb/gbs073","Despite recognition of the increasing influence of emotion on decision making with age, there are few studies that have assessed older adults’ financial choices in a socioemotional context. Thus, social economic decision making between same- versus other-aged partners was assessed.Young (n = 35) and older (n = 34) adults participated in two Ultimatum Games. In the first, they proposed divisions of money between themselves and future young and older participants. In the second, they accepted or rejected fair and unfair divisions of money proposed by past young and older participants. Lastly, participants reported their anger in response to the offers that were proposed to them in the second game.In the first game, older participants divided the money more generously than did young participants. In the second game, young, but not older, participants rejected more unfair offers proposed by young relative to older adults. However, both participant age groups reported being angrier at unfair offers proposed by young adults compared with when receiving the same offer from an older adult.These findings are discussed in the context of evidence for improved anger regulation and increased prosocial behavior with age.","2013-05-01","2022-03-11 12:59:43","2022-03-11 12:59:43","2022-03-11 12:59:43","356-363","","3","68","","The Journals of Gerontology: Series B","Age-Related Differences in Social Economic Decision Making","","","","","","","","","","","","Silverchair","","","<p>https://scholar.google.ch/citations?view_op=view_citation&amp;hl=en&amp;user=02mKhmkAAAAJ&amp;citation_for_view=02mKhmkAAAAJ:roLk4NBRz8UC</p>","/Users/abagaini/Zotero/storage/MXJC9A5V/Bailey et al. - 2013 - Age-Related Differences in Social Economic Decisio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NW42WADT","journalArticle","2015","Beadle, Janelle N.; Sheehan, Alexander H.; Dahlben, Brian; Gutchess, Angela H.","Aging, Empathy, and Prosociality","The Journals of Gerontology: Series B","","1079-5014","10.1093/geronb/gbt091","https://doi.org/10.1093/geronb/gbt091","Objectives. Although empathy is a well-established motivation in younger adults for helping others, it is not known whether this extends to aging. Prioritization of socioemotional goals with age may increase the salience of helping others (i.e., prosocial behavior), but older adults also experience decreased cognitive empathy. Thus, we investigated age-related differences in relationships among empathy and prosocial behavior.Method. Participants were 24 younger (M = 19.8 years) and 24 older (M = 77.9 years) healthy adults. Whereas participants believed the study involved playing the dictator game, in reality, state emotional empathy was induced implicitly through a note from an opponent describing their experience with cancer. Prosocial behavior was measured by participants’ monetary offers to that opponent.Results. Older adults showed greater prosocial behavior due to the empathy induction than younger adults. There was a positive association between state emotional empathy ratings and prosocial behavior in older, but not in younger adults, and preliminary evidence for higher state emotional empathy levels in older adults with higher trait cognitive empathy.Discussion. This suggests that in contexts relevant to socioemotional goals, older adults may be more motivated than younger adults to help others and state emotional empathy may be a potential mechanism for greater prosocial behavior in aging.","2015-03-01","2022-03-11 13:00:52","2022-03-11 13:00:52","2022-03-11 13:00:52","213-222","","2","70","","The Journals of Gerontology: Series B","","","","","","","","","","","","","Silverchair","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=GLi3JVUAAAAJ&amp;citation_for_view=GLi3JVUAAAAJ:YsMSGLbcyi4C</p>","/Users/abagaini/Zotero/storage/AF48SCX2/Beadle et al. - 2015 - Aging, Empathy, and Prosociality.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FL2EJ69N","journalArticle","2014","Freund, Alexandra M.; Blanchard-Fields, Fredda","Age-related differences in altruism across adulthood: Making personal financial gain versus contributing to the public good","Developmental Psychology","","1939-0599","10.1037/a0034491","","Four studies utilizing different methodological approaches investigated adult age-related differences in altruism (i.e., contributions to the public good) and the self-centered value of increasing personal wealth. In Study 1, data from the World Values Survey (World Values Survey Association, 2009) provided 1st evidence of a negative association between age and the self-reported wish to be rich. Ecological concerns, a form of contributing to the public good, were positively related to age. Study 2 investigated whether these values are expressed behaviorally when participants solved a complex problem that allowed striving for monetary gains or contributing to a public good. Confirming hypotheses, young adults’ strategies were consistent with the aim of optimizing personal financial gain, and older adults’ strategies with the aim to contribute to the public good. Studies 3 and 4 showed that older adults were more likely than younger and middle-aged adults to donate money to a good cause than to keep it for themselves. Study 4 manipulated participants’ future time perspective as a factor potentially contributing to age-related differences. Partly confirming hypotheses, a longer time perspective reduced donations by older adults, but a shorter time perspective did not increase donations by younger adults. These studies suggest that older adults not only report valuing contributions to the public good more highly but also are more likely to behave altruistically than younger adults. All studies used cross-sectional designs that prevent a strict test of developmental trajectories but rather provide age-related differences at 1 point in time, representing a 1st step in investigating adult age-related differences in altruism. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2014","2022-03-11 13:01:39","2022-03-11 13:01:39","","1125-1136","","4","50","","","Age-related differences in altruism across adulthood","","","","","","","","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=GNCY1L4AAAAJ&amp;cstart=100&amp;pagesize=100&amp;sortby=pubdate&amp;citation_for_view=GNCY1L4AAAAJ:b0M2c_1WBrUC</p>","/Users/abagaini/Zotero/storage/MSPFWZE9/Freund and Blanchard-Fields - 2014 - Age-related differences in altruism across adultho.pdf; /Users/abagaini/Zotero/storage/DBPIIUTP/2013-33819-001.html","","","Age Differences; Altruism; Adult Development; Ecology; Money; Time Perspective; Values","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNHK58V8","journalArticle","2017","Gaesser, Brendan; Dodds, Haley; Schacter, Daniel L.","Effects of aging on the relation between episodic simulation and prosocial intentions","Memory","","0965-8211","10.1080/09658211.2017.1288746","https://doi.org/10.1080/09658211.2017.1288746","Imagining helping a person in need can facilitate prosocial intentions. Here we investigated how this effect can change with aging. We found that, similar to young adults, older adults were more willing to help a person in need when they imagined helping that person compared to a baseline condition that did not involve helping, but not compared to a conceptual helping control condition. Controlling for heightened emotional concern in older adults revealed an age-related difference in the effect of imagining on willingness to help. While we observed age-related condition effects, we also found that the subjective vividness of scene imagery predicted willingness to help for both age groups. Our findings provide insight into the relations among episodic simulation, healthy aging, emotion, and prosociality. Implications for effects of episodic memory and aging on social decision-making are discussed.","2017-10-21","2022-03-11 13:02:40","2022-03-11 13:02:40","2022-03-11 13:02:40","1272-1278","","9","25","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/09658211.2017.1288746 PMID: 28276977","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=Iyni_BcAAAAJ&amp;citation_for_view=Iyni_BcAAAAJ:W7OEmFMy1HYC</p>","/Users/abagaini/Zotero/storage/NI89ZHYH/Gaesser et al. - 2017 - Effects of aging on the relation between episodic .pdf; /Users/abagaini/Zotero/storage/ZG8K5CL3/09658211.2017.html","","","episodic memory; Future thinking; morality; prosociality; social cognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNPWFEMY","journalArticle","2019","Gong, Xianmin; Zhang, Fan; Fung, Helene H","Are Older Adults More Willing to Donate? The Roles of Donation Form and Social Relationship","The Journals of Gerontology: Series B","","1079-5014","10.1093/geronb/gbx099","https://doi.org/10.1093/geronb/gbx099","Whether older adults are more prosocial than younger adults has been under debate. In the current study, we investigated how age differences in prosocial behaviors varied across different contextual factors, that is, donation form, kinship, and social distance.To achieve this purpose, 89 younger and 66 older adults took part in a hypothetical donation task in which they were asked to donate money and time to relatives and nonrelatives at various social distances.The results showed that, compared to younger adults, (a) older adults donated less to nonrelatives (regardless of the donation form), but donated a similar amount (in money) or even donated more (in time) to relatives; (b) older adults displayed higher levels of kin selection (favoring relatives over nonrelatives) in both monetary and time donations; and (c) older adults showed higher levels of social discounting (favoring socially close over distant others) in monetary but not time donation.The study underscored the importance of contextual factors in understanding age differences in prosocial behaviors such as donation.","2019-02-15","2022-03-11 13:03:13","2022-03-11 13:03:13","2022-03-11 13:03:13","440-448","","3","74","","The Journals of Gerontology: Series B","Are Older Adults More Willing to Donate?","","","","","","","","","","","","Silverchair","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=Ta_I22MAAAAJ&amp;citation_for_view=Ta_I22MAAAAJ:2osOgNQ5qMEC</p>","/Users/abagaini/Zotero/storage/6RNYTIFE/Gong et al. - 2019 - Are Older Adults More Willing to Donate The Roles.pdf; /Users/abagaini/Zotero/storage/3582KPJ6/3988023.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LR6LMV4A","journalArticle","2016","Hubbard, Jason; Harbaugh, William T.; Srivastava, Sanjay; Degras, David; Mayr, Ulrich","A general benevolence dimension that links neural, psychological, economic, and life-span data on altruistic tendencies","Journal of Experimental Psychology: General","","1939-2222","10.1037/xge0000209","","[Correction Notice: An Erratum for this article was reported in Vol 145(10) of Journal of Experimental Psychology: General (see record 2016-46925-004). In the article, there was an error in the Task, Stimuli, and Procedures section. In the 1st sentence in the 6th paragraph, “Following the scanning phase, participants completed self-report questionnaires meant to reflected the Prosocial Disposition construct: the agreeableness scale from the Big F, which includes empathic concern and perspective-taking, and a scale of personality descriptive adjectives related to altruistic behavior (Wood, Nye, & Saucier, 2010).” should have read: “Following the scanning phase, participants completed self-report questionnaires that contained scales to reflect the Prosocial Disposition construct: the Big Five Inventory (BFI; John et al., 1991), from which we used the agreeableness scale to measure prosocial disposition; the Interpersonal Reactivity Index (IRI; Davis, 1980), from which we used the empathic concern and perspective-taking scales; and a scale of personality descriptive adjectives related to altruistic behavior (Wood, Nye, & Saucier, 2010).”] Individual and life span differences in charitable giving are an important economic force, yet the underlying motives are not well understood. In an adult, life span sample, we assessed manifestations of prosocial tendencies across 3 different measurement domains: (a) psychological self-report measures, (b) actual giving choices, and (c) fMRI-derived, neural indicators of “pure altruism.” The latter expressed individuals’ activity in neural valuation areas when charities received money compared to when oneself received money and thus reflected an altruistic concern for others. Results based both on structural equation modeling and unit-weighted aggregate scores revealed a strong higher-order General Benevolence dimension that accounted for variability across all measurement domains. The fact that the neural measures likely reflect pure altruistic tendencies indicates that General Benevolence is based on a genuine concern for others. Furthermore, General Benevolence exhibited a robust increase across the adult life span, potentially providing an explanation for why older adults typically contribute more to the public good than young adults. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2016","2022-03-11 13:03:40","2022-03-11 13:03:40","","1351-1358","","10","145","","","","","","","","","","","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=P-TjHbEAAAAJ&amp;citation_for_view=P-TjHbEAAAAJ:NMxIlDl6LWMC</p>","/Users/abagaini/Zotero/storage/YJY53P3I/Hubbard et al. - 2016 - A general benevolence dimension that links neural,.pdf; /Users/abagaini/Zotero/storage/L7SL86UR/2016-39037-001.html","","","Neuroimaging; Altruism; Life Span; Personality Traits; Prosocial Behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHUBRFQ9","journalArticle","2014","Ojha, Ashok Kumar; Mishra, Ritu","Altruism as a function of age and deprivation: An interactional study","Journal of the Indian Academy of Applied Psychology","","0019-4247","","","The research was planned to investigate the independent as well as interactional effects of age and deprivation on altruism. For this, a 3 × 3 bivariate classification of the sample was made. The ages of the participants was divided into young (over 20 – 40 years), middle (over 40 – 60 years) and old (over 60 – 80 years). Deprivation was categorized on the basis of the scores of the subjects on Deprivation Scale into three– high deprived (HD), medium deprived (MD) and low deprived (LD), and accordingly in each of nine subgroups 40 male urban employees (working/retired) of government or semi government organizations were selected. All the selected subjects were individually interviewed with Altruism Scale. A bivariate analysis of the data revealed that as age and deprivation increase altruism also increases. However, interaction of age X deprivation does not make any significant difference in altruism. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2014","2022-03-11 13:05:42","2022-03-11 13:05:42","","310-314","","2","40","","","Altruism as a function of age and deprivation","","","","","","","","","","","","APA PsycNet","","Place: India Publisher: Indian Academy of Applied Psychology","<p>No link</p> <p>No doi</p>","/Users/abagaini/Zotero/storage/ML7EC9Q4/2014-48779-013.html","","","Aging; Age Differences; Altruism; Deprivation; Retirement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEUE5U63","journalArticle","2019","Pornpattananangkul, Narun; Chowdhury, Avijit; Feng, Lei; Yu, Rongjun","Social Discounting in the Elderly: Senior Citizens are Good Samaritans to Strangers","The Journals of Gerontology: Series B","","1079-5014","10.1093/geronb/gbx040","https://doi.org/10.1093/geronb/gbx040","People tend to become more generous as they grow older, which may reflect an increase in their ego-transcending motives (i.e., concern more for the benefit of recipients than of the benefactors). The current study aimed to examine evidence for an enhanced ego-transcending motive among older adults.We adapted the social-discounting framework to quantify generosity toward people of different social distances, ranging from socially close others (e.g., family and close friends) to socially distant others (e.g., total strangers), in both young and older adults. We hypothesized that the normative decrease in generosity as a function of social distance (e.g., less generous towards strangers compared to close friends) will be mitigated in older adults.Our results supported that older adults were more generous toward socially distant others (i.e., less social discounting) compared to younger adults.Thus, consistent with the idea that the elderly are more oriented to ego-transcending goals, older adults are generous even when their generosity is unlikely to be reciprocated.","2019-01-01","2022-03-11 13:06:35","2022-03-11 13:06:35","2022-03-11 13:06:35","52-58","","1","74","","The Journals of Gerontology: Series B","Social Discounting in the Elderly","","","","","","","","","","","","Silverchair","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=XU1U21cAAAAJ&amp;citation_for_view=XU1U21cAAAAJ:YOwf2qJgpHMC</p>","/Users/abagaini/Zotero/storage/EW6UGLCM/Pornpattananangkul et al. - 2019 - Social Discounting in the Elderly Senior Citizens.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WMQXPFN","journalArticle","2012","Roalf, David R.; Mitchell, Suzanne H.; Harbaugh, William T.; Janowsky, Jeri S.","Risk, Reward, and Economic Decision Making in Aging","The Journals of Gerontology: Series B","","1079-5014","10.1093/geronb/gbr099","10.1093/geronb/gbr099","Older adults’ decision quality is considered to be worse than that of younger adults. This age-related difference is often attributed to reductions in risk tolerance. Little is known about the circumstances that affect older adults’ decisions and whether risk attitudes directly influence economic decisions. We measure the influence of risk attitudes on age-related differences in decision making in both nonsocial and social contexts.Risk attitudes and economic decision making were measured in 30 healthy older adults and 29 healthy younger adults.Older adults report being less impulsive, sensation seeking and risk tolerant than younger adults. Age did not affect a measure of nonsocial economic decision making. Older adults were more likely to reject unfair divisions of money during an economic social-bargaining game and more likely to make equitable divisions of money during social-giving game. These age-related differences were determined in part by individuals’ self-reported risk taking.We conclude that age-related differences in decision making are domain specific and that some social economic decision making is influenced by risk attitudes. Older adults are more risk avoidant, but this does not alter their willingness to wait for reward in a nonsocial context. Perceiving more risk is associated with an unwillingness to accept an unfair offer in social economic contexts and ultimately leads to poorer outcomes for older adults.","2012-05-01","2022-03-11 13:07:48","2022-03-14 12:15:25","2022-03-11 13:07:48","289-298","","3","67B","","The Journals of Gerontology: Series B","","","","","","","","","","","","","Silverchair","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=OJCBQJkAAAAJ&amp;cstart=20&amp;pagesize=80&amp;citation_for_view=OJCBQJkAAAAJ:YsMSGLbcyi4C</p>","/Users/abagaini/Zotero/storage/GS6HWHPV/Roalf et al. - 2012 - Risk, Reward, and Economic Decision Making in Agin.pdf; /Users/abagaini/Zotero/storage/YPBJYXWP/Roalf et al. - 2012 - Risk, Reward, and Economic Decision Making in Agin.pdf; /Users/abagaini/Zotero/storage/QQQCPD5A/566301.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
