pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,effort_type,domain_frame,incentivization,study_context,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,1,Single,sample 1,Effort-based decision-making task,Description,Physical,Gain,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 1 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,2,Single,sample 1,Effort-based decision-making task,Description,Physical,Gain,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 2 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,3,Single,sample 1,Effort-based decision-making task,Description,Physical,Gain,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 3 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,4,Single,sample 1,Effort-based decision-making task,Description,Physical,Gain,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 4 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,5,Single,sample 1,Effort-based decision-making task,Description,Physical,Gain,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 5 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,6,Single,sample 1,Effort-based decision-making task,Description,Physical,Gain,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 6 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,7,Single,sample 1,Effort-based decision-making task,Description,Physical,Loss,Incentivised,In-person,NA,22,NA,20,NA,16,NA,9,NA,6,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 1 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,8,Single,sample 1,Effort-based decision-making task,Description,Physical,Loss,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 2 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,9,Single,sample 1,Effort-based decision-making task,Description,Physical,Loss,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 3 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,10,Single,sample 1,Effort-based decision-making task,Description,Physical,Loss,Incentivised,In-person,NA,22,NA,20,NA,16,NA,11,NA,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference point,Effort Indifference point for level 4 force level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group,NA
