pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,domain_frame,incentivization,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
1,Thrailkill,2022,Loss aversion and risk for cigarette smoking and other substance use,1,single,Sample 1,Mixed Gambles,Description,Mixed,Hypothetical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Risky choice,Mean of all 3 gamble acceptance proportions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,Age continuous,NA
2,Albert,2012,Differences in risk aversion between young and older adults,1,Single,Sample 1,Holt-Laury Lottery Task,Description,Gain,Incentivized,NA,26,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.824,NA,NA,NA,NA,NA,31.9,NA,71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,8.4,NA,NA,NA,NA,Proportion of participants choosing the safe option,Proportion of participants (with more than 12 years of education) choosing option A across the 10 lotteries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Figure 1,Extreme  group (M + SD),NA
3,Seaman,2016,Adult age differences in decision making across domains: Increased discounting of social and health-related rewards,1,Single,Sample 1,Probability Discounting Task,Description,Gain,Hypothetical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Discounting rate,Probability discount parameter k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,Age continuous,NA
4,Fawns-Ritchie,2022,Psychological correlates of free colorectal cancer screening uptake in a Scottish sample: a cross-sectional observational study,1,Single,Sample 1,Multiple Price List,Description,Gain,Hypothetical,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA,NA,65.33,NA,NA,NA,50,NA,NA,NA,80,NA,NA,NA,8.11,NA,NA,NA,NA,NA,NA,NA,Switching point,The point at which the participant switched from choosing the certain monthly income of £1500 to choosing the gamble (score range 1–4). Higher scores reflect more risk aversion.,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
5,Mok,2020,Is it time? Episodic imagining and the discounting of delayed and probabilistic rewards in young and older adults,1,Experiment 2,Sample 1,Probability Discounting Task,Description,Gain,Hypothetical,NA,38,NA,36,NA,16,NA,20,NA,22,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.26,NA,61.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,8.08,NA,NA,NA,NA,Area under the curve,Area under the curve for small reward uncued condition,NA,0.16,0.09,NA,NA,NA,NA,0.16,0.11,NA,NA,NA,NA,Extreme group (M + SD),NA
5,Mok,2020,Is it time? Episodic imagining and the discounting of delayed and probabilistic rewards in young and older adults,2,Experiment 2,Sample 1,Probability Discounting Task,Description,Gain,Hypothetical,NA,38,NA,36,NA,16,NA,20,NA,22,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.26,NA,61.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,8.08,NA,NA,NA,NA,Area under the curve,Area under the curve for large reward uncued condition,NA,0.1,0.08,NA,NA,NA,NA,0.11,0.09,NA,NA,NA,NA,Extreme group (M + SD),NA
6,Bickel,2014,"Using crowdsourcing to compare temporal, social temporal, and probability discounting among obese and non-obese individuals",1,Single,Sample 1,Probability discounting Task,Description,Gain,Hypothetical,1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556,NA,NA,NA,NA,NA,NA,NA,31.64,NA,NA,NA,18,NA,NA,NA,82,NA,NA,NA,11.25,NA,NA,NA,NA,NA,NA,NA,Discount rate,"Probability discount rate, log transformed",0.11417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
7,Rodrigues,2022,Never mind losing the pound... still got the penny! The influence of trait greed on risky decision behavior in a mixed and gain only BART,1,Single,Sample 1,Balloon Analogue Risk Task,Experience,Gain,Incentivized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adjusted Pumps,Average number of unexploded balloon inflations in the gain trials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,Age continuous,NA
7,Rodrigues,2022,Never mind losing the pound... still got the penny! The influence of trait greed on risky decision behavior in a mixed and gain only BART,2,Single,Sample 1,Balloon Analogue Risk Task,Experience,Mixed,Incentivized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adjusted Pumps,Average number of unexploded balloon inflations in the mixed trials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,Age continuous,NA
7,Rodrigues,2022,Never mind losing the pound... still got the penny! The influence of trait greed on risky decision behavior in a mixed and gain only BART,3,Single,Sample 1,Balloon Analogue Risk Task,Experience,Gain,Incentivized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explosions,Number of exploded balloons in the gain trials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,Age continuous,NA
