pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,domain_frame,incentivization,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
1,Kawakami,2020,Time preference and personal value: a population-based cross-sectional study in Japan,1,single,subsample 1,Three-item choice-based measure,Description,gain,hypothetical,1880,NA,NA,NA,NA,NA,NA,NA,1048,NA,NA,NA,NA,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Time discount rate,Averaged discounting rate across questions,-0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
1,Kawakami,2020,Time preference and personal value: a population-based cross-sectional study in Japan,2,single,subsample 2,three-item choice-based measure,Description,gain,hypothetical,1958,NA,NA,NA,NA,NA,NA,NA,1099,NA,NA,NA,NA,NA,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hyperbolic time discounting,Compared hyperbolic time discounting rates for question 2 and question 3,-0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
2,Fawns-Ritchie,2022,Psychological correlates of free colorectal cancer screening uptake in a Scottish sample: a cross-sectional observational study,1,single,Subsample 1,Multiple Price List,Description,Gain,Hypothetical,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.33,NA,NA,NA,50,NA,NA,NA,80,NA,NA,NA,8.23,NA,NA,NA,NA,NA,NA,NA,Switching point,The measure of time preference used here was the point at which the participant switched from choosing the money now to choosing the money in 1 month’s time (score range 1–8). A higher score reflects more present orientation.,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
3,Ciaramelli,2021,The role of ventromedial prefrontal cortex in reward valuation and future thinking during intertemporal choice,1,single,sample 1,Delay Discounting task,Description,Gain,Hypothetical,41,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.09,NA,NA,NA,49,NA,NA,NA,78,NA,NA,NA,6.58,NA,NA,NA,NA,NA,NA,NA,Area Under the Curve,The degree to which participants discounted delayed rewards. Standard condition. Small Reward. Healthy controls.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data available,Age continuous,NA
3,Ciaramelli,2021,The role of ventromedial prefrontal cortex in reward valuation and future thinking during intertemporal choice,2,single,sample 1,Delay Discounting task,Description,Gain,Hypothetical,41,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.09,NA,NA,NA,49,NA,NA,NA,78,NA,NA,NA,6.58,NA,NA,NA,NA,NA,NA,NA,Area Under the Curve,The degree to which participants discounted delayed rewards. Standard condition. Large Reward. Healthy controls.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data available,Age continuous,NA
4,Martin,2019,The appropriate response of Spanish Gitanos: short-run orientation beyond current socio-economic status,1,single,sample 1,Multiple-Price-List Task,Descriptive,Gain,Hypothetical,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA,NA,NA,46.8,NA,NA,NA,17,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LL choices,Number of larger-later (LL) choices in the task,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data available,Age continuous,NA
5,Seaman,2021,Decision Making across Adulthood during Physical Distancing,1,Single,Sample 1,Temporal discounting task,Description,Gain,Hypothetical,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,52.5,NA,NA,NA,18,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SS choices,Proportion of the choices for the sooner monetary reward in the primary sample,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data at https://osf.io/9xzfq/,Age continuous,NA
5,Seaman,2021,Decision Making across Adulthood during Physical Distancing,2,Single,Sample 2,Temporal discounting task,Description,Gain,Hypothetical,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,18,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SS choices,Proportion of the choices for the sooner monetary reward in the replication sample,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data at https://osf.io/9xzfq/,Age continuous,NA
6,Schüller,2021,Temporal discounting in adolescents and adults with Tourette syndrome,1,Study 2,sample 1,Delay discounting task,Description,Gain,Incentivized,25,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4,NA,NA,NA,19,NA,NA,NA,49,NA,NA,NA,9.28,NA,NA,NA,NA,NA,NA,NA,Discount rate,Discount rate (k) of the matched control group,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
7,Skylark,2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,1,Study 1B,Sample 1,intertemporal choice task,Description,Gain,Hypothetical,333,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated delay,Estimated delay associated with a certain reward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data at: https://osf.io/e2fnt/,Age continuous,NA
7,Skylark,2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,2,Study 2B,Sample 1,intertemporal choice task,Description,Gain,Hypothetical,337,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated delay,Estimated delay associated with a certain reward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data at: https://osf.io/e2fnt/,Age continuous,NA
8,Veillard,2020,Temporal discounting does not influence body mass index,1,single,Sample 1,Kirby’s Monetary Choice Questionnaire,Description,Gain,Hypothetical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Discount rate,Discount rate for money rewards (k_money),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data available at https://osf.io/ncmf5/,Age continuous,NA
9,Felton,2019,Improvement of Working Memory is a Mechanism for Reductions in Delay Discounting Among Mid-Age Individuals in an Urban Medically Underserved Area,1,single,sample 1,delay discounting task,description,gain,hypothetical,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487,NA,NA,NA,51.2,NA,NA,NA,40,NA,NA,NA,60,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,delay discounting rate,The rate of  delay discounting at the pre-training phase for the $50 condition. Control condition at T1,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
9,Felton,2019,Improvement of Working Memory is a Mechanism for Reductions in Delay Discounting Among Mid-Age Individuals in an Urban Medically Underserved Area,2,single,sample 1,delay discounting task,description,gain,hypothetical,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487,NA,NA,NA,51.2,NA,NA,NA,40,NA,NA,NA,60,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,delay discounting rate,The rate of  delay discounting at the pre-training phase for the $50 condition. Control condition at T2,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
9,Felton,2019,Improvement of Working Memory is a Mechanism for Reductions in Delay Discounting Among Mid-Age Individuals in an Urban Medically Underserved Area,3,single,sample 1,delay discounting task,description,gain,hypothetical,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487,NA,NA,NA,51.2,NA,NA,NA,40,NA,NA,NA,60,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,delay discounting rate,The rate of  delay discounting at the pre-training phase for the $1000 condition.Control condition at T2,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Age continuous,NA
10,Mok,2020,Is it time? Episodic imagining and the discounting of delayed and probablistic rewards in young and older adults,1,Experiment 1,sample 1,Delay Discounting Task,Description,Gain,Hypothetical,NA,58,NA,56,NA,26,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.97,NA,64.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,8.58,NA,NA,NA,NA,Area Under Curve,Area-under-the-Curve reported in the uncued condition for smaller delayed reward ($100),NA,0.25,0.22,NA,NA,NA,NA,0.35,0.22,NA,NA,NA,data available as supplement,Extreme group (M + SD),NA
