subid,age_group,indif_point,force_lvl,cond_domain
1,ya,6.50000773501043,1,reward
1,ya,9.57981058091364,2,reward
1,ya,11.3543319436279,3,reward
1,ya,16.8489690991645,4,reward
1,ya,20.7837627539567,5,reward
1,ya,30.5046716868484,6,reward
1,ya,4.49813731046093,1,punish
1,ya,4.98215996654259,2,punish
1,ya,12.9860759608354,3,punish
1,ya,14.994718665911,4,punish
1,ya,22.4067564075147,5,punish
1,ya,30.9914578556885,6,punish
2,ya,2.9854186210924,1,reward
2,ya,4,2,reward
2,ya,4.90675366538966,3,reward
2,ya,13.4971704324668,4,reward
2,ya,22.861438106879,5,reward
2,ya,33.7029676992796,6,reward
2,ya,0.18366939411473,1,punish
2,ya,1,2,punish
2,ya,0.524366234047392,3,punish
2,ya,0.918089451731618,4,punish
2,ya,1.34110194877563,5,punish
2,ya,9.49998223022317,6,punish
3,ya,5.70862926404765,1,reward
3,ya,10.9999315171486,2,reward
3,ya,17.6001541917795,3,reward
3,ya,24.1929616540048,4,reward
3,ya,28.0382177214674,5,reward
3,ya,38.0000638116702,6,reward
3,ya,2.96375538855389,1,punish
3,ya,4.75,2,punish
3,ya,15.823311934925,3,punish
3,ya,22.9053787884664,4,punish
3,ya,28.1159559926839,5,punish
3,ya,34.0034516093986,6,punish
4,ya,2.52939766574844,1,reward
4,ya,2.67045181758153,2,reward
4,ya,17.7507723583531,3,reward
4,ya,30.0232750759904,4,reward
4,ya,62.4998893892917,5,reward
4,ya,70.0000000000027,6,reward
4,ya,3,1,punish
4,ya,2.76084808883701,2,punish
4,ya,14.4973255689706,3,punish
4,ya,22.0267086355431,4,punish
4,ya,41.5005525382494,5,punish
4,ya,60.4680971929221,6,punish
5,ya,3,1,reward
5,ya,3,2,reward
5,ya,2.9999999996967,3,reward
5,ya,14.1219607653448,4,reward
5,ya,19.1005758245856,5,reward
5,ya,100,6,reward
5,ya,3,1,punish
5,ya,3,2,punish
5,ya,2.2067537127987,3,punish
5,ya,4.4998195928651,4,punish
5,ya,17.0091974670284,5,punish
5,ya,100,6,punish
6,ya,3,1,reward
6,ya,2.68184480762644,2,reward
6,ya,11.4999878472163,3,reward
6,ya,24.75,4,reward
6,ya,53,5,reward
6,ya,100,6,reward
6,ya,2.13537669200842,1,punish
6,ya,6.99878209471482,2,punish
6,ya,11.577389324636,3,punish
6,ya,21.0054754242968,4,punish
6,ya,28.8997190557843,5,punish
6,ya,32,6,punish
7,ya,6.9990118808304,1,reward
7,ya,7.99095257046005,2,reward
7,ya,13.2548341751239,3,reward
7,ya,18.9859321905257,4,reward
7,ya,19.991089083593,5,reward
7,ya,26.3622445569598,6,reward
7,ya,2.61937770412147,1,punish
7,ya,5.3515096178501,2,punish
7,ya,4.99878547984416,3,punish
7,ya,10.7945852751418,4,punish
7,ya,16.9817101122175,5,punish
7,ya,14.9683200620574,6,punish
8,ya,2.13537669200842,1,reward
8,ya,7.98574706848434,2,reward
8,ya,13.5178940374909,3,reward
8,ya,22.0138300096391,4,reward
8,ya,34.4456133273914,5,reward
8,ya,99.9999999999997,6,reward
8,ya,3,1,punish
8,ya,3,2,punish
8,ya,3,3,punish
8,ya,13,4,punish
8,ya,100,5,punish
8,ya,100,6,punish
9,ya,2.76108184988213,1,reward
9,ya,5.3515096178501,2,reward
9,ya,6.98594735809206,3,reward
9,ya,11.7459904330735,4,reward
9,ya,10.9287414338255,5,reward
9,ya,21.7471712701376,6,reward
9,ya,3,1,punish
9,ya,3.5,2,punish
9,ya,2.66557896590962,3,punish
9,ya,3.08417583449415,4,punish
9,ya,7,5,punish
9,ya,6.98204126303462,6,punish
11,ya,2.51785273654732,1,reward
11,ya,3.08987780541166,2,reward
11,ya,5.49798352842447,3,reward
11,ya,6.50086540932914,4,reward
11,ya,10.9866026503837,5,reward
11,ya,26.9998588825893,6,reward
11,ya,3,1,punish
11,ya,7.5,2,punish
11,ya,2.19362277725478,3,punish
11,ya,10.25,4,punish
11,ya,4.99764655450614,5,punish
11,ya,6.98204126303462,6,punish
12,ya,2.58969601924699,1,reward
12,ya,4.2870543448566,2,reward
12,ya,6.98118980638674,3,reward
12,ya,8.99701825598058,4,reward
12,ya,17.9948385640913,5,reward
12,ya,20.9999569489272,6,reward
12,ya,2.77143281516833,1,punish
12,ya,4.75,2,punish
12,ya,9.5,3,punish
12,ya,5.50181798369446,4,punish
12,ya,21.5,5,punish
12,ya,25.5,6,punish
13,ya,2.86472912890435,1,reward
13,ya,3.0896724663725,2,reward
13,ya,12.9859940643782,3,reward
13,ya,13,4,reward
13,ya,27.1309552126876,5,reward
13,ya,32.3740105260111,6,reward
13,ya,3,1,punish
13,ya,2.76084808883701,2,punish
13,ya,2.56323166408144,3,punish
13,ya,13.9817852613849,4,punish
13,ya,12.7431570432394,5,punish
13,ya,24.0593411879999,6,punish
14,ya,3,1,reward
14,ya,3.61598836894074,2,reward
14,ya,7.99480830638236,3,reward
14,ya,7.97239135920303,4,reward
14,ya,10.8985830250493,5,reward
14,ya,10.9999999999939,6,reward
14,ya,3,1,punish
14,ya,3,2,punish
14,ya,3,3,punish
14,ya,3,4,punish
14,ya,3,5,punish
14,ya,3,6,punish
15,ya,4.75,1,reward
15,ya,3.50001748333433,2,reward
