"Participant","AgeGroup","AUC"
"012","YA",0.9985
"014","YA",0.892
"015","YA",1
"016","YA",0.70425
"017","YA",1
"018","YA",0.8915
"019","YA",0.97925
"020","YA",0.994
"021","YA",0.88325
"022","YA",0.713
"023","YA",1
"025","YA",0.74175
"026","YA",1
"027","YA",1
"028","YA",0.96975
"029","YA",0.8695
"030","YA",0.97975
"031","YA",0.9635
"032","YA",0.90325
"033","YA",1
"034","YA",0.88425
"035","YA",0.9815
"036","YA",0.164
"037","YA",0.94
"038","YA",0.97225
"039","YA",0.91875
"040","YA",0.99775
"041","YA",0.934
"042","YA",0.90725
"043","YA",0.92975
"045","YA",0.9325
"046","YA",0.917
"047","YA",0.90225
"048","YA",0.9985
"049","YA",0.869
"051","YA",0.883
"052","YA",0.9855
"053","YA",0.79075
"054","YA",0.87225
"056","YA",0.80425
"057","YA",1
"058","YA",0.75925
"059","YA",0.99625
"060","YA",0.99925
"061","YA",0.96675
"062","YA",0.991
"063","YA",1
"064","YA",0.94475
"065","YA",0.96125
"066","YA",0.9985
"107","OA",0.877
"108","OA",0.65275
"109","OA",0.75775
"110","OA",0.94675
"111","OA",0.492
"112","OA",0.66275
"113","OA",0.71025
"114","OA",0.9195
"115","OA",0.803
"116","OA",0.43925
"117","OA",0.678
"118","OA",1
"119","OA",0.66025
"120","OA",Inf
"121","OA",0.83575
"122","OA",0.75975
"123","OA",0.77075
"124","OA",0.74675
"125","OA",0.78975
"126","OA",1
"127","OA",0.69075
"128","OA",1
"129","OA",0.94675
"130","OA",0.97675
"131","OA",0.10875
"132","OA",0.9985
"133","OA",1
"134","OA",0.83375
"135","OA",1
"136","OA",0.91975
"137","OA",0.67175
"138","OA",0.73425
"139","OA",1
"140","OA",0.806
"141","OA",0.78225
"142","OA",0.71525
"143","OA",0.559
"144","OA",0.583
"145","OA",0.8075
"146","OA",1
"147","OA",0.58775
"148","OA",0.95575
"149","OA",0.93725
"150","OA",0.596
"151","OA",0.48575
"152","OA",0.12775
"153","OA",0.74775
"154","OA",0.8525
"155","OA",0.5595
"156","OA",0.65175
