Case;AgeGroup;Age;Education;Health;Wealth;Income;Life.Satisfaction;GainOrientation;MaintenanceOrientation;LossAvoidanceOrientation;DigitSymbol.correct;Vocabulary.correct;Numeracy;Total.Win.CHF;Proportion.Donate;HypLow.Gain;HypHigh.Gain;RealLow.Gain;RealHigh.Gain;P.Switching.Hyp.Low;P.Switching.Hyp.High;P.Switching.Real.Low;P.Switching.Real.High;P.Choices.A.Hyp.Low;P.Choices.A.Hyp.High;P.Choices.A.Real.Low;P.Choices.A.Real.High;P.Higher.EV.Hyp.Low;P.Higher.EV.Hyp.High;P.Higher.EV.Real.Low;P.Higher.EV.Real.High;SAM.Affect.HypLow;SAM.Affect.HypHigh;SAM.Affect.RealLow;SAM.Affect.RealHigh;SAM.Arousal.HypLow;SAM.Arousal.HypHigh;SAM.Arousal.RealLow;SAM.Arousal.RealHigh;Preference.LowerAmount.DominanceViolation
1;Younger.Adults;28;6;6;4;1;5;4,5;7;7;52;32; ;33,6;0;1,6;77;1,6;32;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,7;,6;,7;,8;,7;,8;,7;,6;7;7;6;8;3;3;4;2;0
2;Younger.Adults;22;4;7;5;1;7;8;6,5;1;36;31;10;40,1;,249376558603491;1,6;32;,1;40;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,3;,3;,7;,9;,9;,9;,7;,5;8;7;5;7;7;8;8;8;0
3;Older.Adults;61;4;6; ;3;7;8;8;5,5;30;35;10;80,85;1;3,85;2;3,85;77;,111111111111111;,111111111111111;,111111111111111; ;,4;,3;,1;,3;1;,9;,7;1;5;5;7;7;5;5;5;5;0
4;Younger.Adults;20;1;6;1;1;6;8;3,5;4,5;48;29;11;43,85;,543899657924743;3,85;32;3,85;40;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,4;,5;,4;,5;1;,9;1;,9;8;9;8;9;1;2;1;3;0
5;Younger.Adults;29;6;5;2;2;5;7,5;6;3,5;38;28;11;42;,238095238095238;3,85;77;2;40;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,5;,6;,9;,6;,9;,8;,5;,8;9;9;8;8;1;1;1;1;0
6;Younger.Adults;21;4;3;2;1;4;7,5;5;7,5;40;30;11;42;0;1,6;32;2;40;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,7;,8;,7;,8;,7;,6;,7;,6;7;6;7;8;3;3;4;5;0
7;Younger.Adults;28;6;5;1;1;5;6,5;6,5;2;34;30;11;33,6;,107142857142857;2;77;1,6;32;,111111111111111;,111111111111111;,111111111111111;0;,7;,7;,7;1;,7;,7;,7;,4;5;5;5;8;7;7;5;7;1
8;Younger.Adults;23;6;7;6;1;6;7;4,5;2,5;38;31;11;42;0;3,85;32;2;40;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,4;,5;,4;,6;1;,9;1;,8;7;7;8;8;1;1;1;1;0
9;Older.Adults;69;5;4;6;2;5;8;8;8;29;34;11;80,85;0;1,6;77;3,85;77;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,4;,4;,7;,9;1;1;,7;,5;5;9;9;9;3;7;7;7;0
10;Younger.Adults;21;4;6;2;1;5;7;6,5;7;39;30;9;42;,0476190476190476;2;77;2;40;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,4;,4;,6;,7;1;1;,8;,7;6;7;7;9;4;7;4;8;0
11;Older.Adults;62; ;6;6;3;5;7;7;7;23;34;1;33,6;,297619047619048;1,6;2;1,6;32;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,5;,4;,4;,4;,9;1;1;1;5;5;5;5;3;3;3;3;0
12;Older.Adults;73;3;5;8;4;6;6,5;7,5;7,5;24;34;7;34;0;3,85;77;2;32;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,3;,6;,4;,7;,9;,8;1;,7;7;9;6;9;5;7;5;8;0
13;Younger.Adults;27;4;6;1;1;5;8;3;5,5;36;33;10;35,85;0;3,85;40;3,85;32;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,4;,7;,4;,7;1;,7;1;,7;9;5;7;4;7;5;6;6;0
14;Younger.Adults;25;4;7;6;1;7;8;5;4,5;47;33;10;33,6;,446428571428571;,1;77;1,6;32;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,5;,7;,7;,7;,9;,7;,7;,7;7;9;9;9;2;1;1; ;0
15;Younger.Adults;22;4;4;2;1;6;8;5;1;33;25;10;79;,253164556962025;1,6;32;2;77;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,3;,6;,4;,5;,9;,8;1;,9;7;7;8;9;6;7;6;8;0
16;Younger.Adults;21;4;4;4;1;6;4;5;7,5;38;29;10;80,85;,505256648113791;3,85;77;3,85;77;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,4;,4;,4;,4;1;1;1;1;7;7;8;8;3;3;3;3;0
17;Older.Adults;61;2;5; ; ;5;4,5;6;5,5;23;31;8;3,6;0;3,85;77;1,6;2;,111111111111111;,666666666666667;,333333333333333;,111111111111111;,3;,4;,3;,3;,9;,4;,7;,9;8;7;7;7;1;1;1;1;0
18;Younger.Adults;23;4;6;7; ;6;4,5;6,5;7;46;30;10;34;,411764705882353;3,85;32;2;32;,111111111111111;,111111111111111;,111111111111111;,111111111111111;,4;,3;,6;,6;1;,9;,8;,8;7;7;8;8;2;2;2;3;0
19;Older.Adults;62;6;7;3;2;6;8;6,5;6,5;28;36;8;77,1;,324254215304799;1,6;77;,1;77;,333333333333333;,111111111111111;,333333333333333;,111111111111111;,5;,7;,7;,8;,9;,7;,7;,6;7;7;9;9;7;7;7;7;0
20;Older.Adults;79;3;6;8;5;6;4;6;6,5;14;35;5;33,6;0;3,85;32;1,6;32;,555555555555556;,444444444444444;,111111111111111;,555555555555556;,5;,7;,5;,7;,7;,5;,9;,5;7;7;7;5;3;1;1;1;0
21;Older.Adults;74;5;7;6;4;7;7;3,5;8;31;33;10;33,6;,595238095238095;2;40;1,6;32;,111111111111111;,111111111111111;,111111111111111;,333333333333333;,6;,4;,5;,4;,8;1;,9;,8;9;9;9;9;3;3;1;3;0
