AgeGroup,cond,m,sd,min_age,max_age,correl
Older.Adults,Hyp.High,0.29320987654320985,0.24653189193476932,61,82,NA
Older.Adults,Hyp.Low,0.2654320987654321,0.2319730230891367,61,82,NA
Older.Adults,Real.High,0.21587301587301577,0.19234224433629574,61,82,NA
Older.Adults,Real.Low,0.18209876543209863,0.13053350783850984,61,82,NA
Younger.Adults,Hyp.High,0.11877394636015313,0.04126563070601148,20,29,NA
Younger.Adults,Hyp.Low,0.13409961685823743,0.10448205311079294,20,29,NA
Younger.Adults,Real.High,0.13026819923371638,0.09422928581097106,20,29,NA
Younger.Adults,Real.Low,0.12260536398467424,0.08578318299755078,20,29,NA
Cont.,Hyp.High,NA,NA,20,82,0.4357561597849696
Cont.,Hyp.Low,NA,NA,20,82,0.37232460665100503
Cont.,Real.High,NA,NA,20,82,0.30803463275773263
Cont.,Real.Low,NA,NA,20,82,0.2819641491994648
Older.Adults,Overall,0.23931623931623924,0.2077894067141893,61,82,NA
Younger.Adults,Overall,0.1264367816091953,0.08404246009676963,20,29,NA
Cont.,Overall,NA,NA,20,82,0.3501093244871931
Cont.,Hyp.High,NA,NA,20,82,0.4357561597849696
Cont.,Hyp.Low,NA,NA,20,82,0.37232460665100503
Cont.,Real.High,NA,NA,20,82,0.30803463275773263
Cont.,Real.Low,NA,NA,20,82,0.2819641491994648
Older.Adults,Overall,0.23931623931623924,0.2077894067141893,61,82,NA
Younger.Adults,Overall,0.1264367816091953,0.08404246009676963,20,29,NA
Cont.,Overall,NA,NA,20,82,0.3501093244871931
