Count;IncentiveCondition;Age.Group;Gender;Age;Income;Wealth;DigitSymbol;GainOrientation;LossOrientation;MaintenanceOrientation;ch_G01;ch_G02;ch_G03;ch_G04;ch_G05;ch_G06;ch_G07;ch_G08;ch_G09;ch_G10;ch_G11;ch_G12;ch_G13;ch_G14;ch_G15;ch_G16;ch_G17;ch_G18;ch_G19;ch_G20;ch_G21;ch_G22;ch_G23;ch_G24;ch_G25;ch_G26;ch_L01;ch_L02;ch_L03;ch_L04;ch_L05;ch_L06;ch_L07;ch_L08;ch_L09;ch_L10;ch_L11;ch_L12;ch_L13;ch_L14;ch_L15;ch_L16;ch_L17;ch_L18;ch_L19;ch_L20;ch_L21;ch_L22;ch_L23;ch_L24;ch_L25;ch_L26;ch_M01;ch_M02;ch_M03;ch_M04;ch_M05;ch_M06;ch_M07;ch_M08;ch_M09;ch_M10;ch_M11;ch_M12;ch_M13;ch_M14;ch_M15;ch_M16;ch_M17;ch_M18;ch_M19;ch_M20;ch_M21;ch_M22;ch_M23;ch_M24;ch_M25;ch_M26;rt_G01;rt_G02;rt_G03;rt_G04;rt_G05;rt_G06;rt_G07;rt_G08;rt_G09;rt_G10;rt_G11;rt_G12;rt_G13;rt_G14;rt_G15;rt_G16;rt_G17;rt_G18;rt_G19;rt_G20;rt_G21;rt_G22;rt_G23;rt_G24;rt_G25;rt_G26;rt_L01;rt_L02;rt_L03;rt_L04;rt_L05;rt_L06;rt_L07;rt_L08;rt_L09;rt_L10;rt_L11;rt_L12;rt_L13;rt_L14;rt_L15;rt_L16;rt_L17;rt_L18;rt_L19;rt_L20;rt_L21;rt_L22;rt_L23;rt_L24;rt_L25;rt_L26;rt_M01;rt_M02;rt_M03;rt_M04;rt_M05;rt_M06;rt_M07;rt_M08;rt_M09;rt_M10;rt_M11;rt_M12;rt_M13;rt_M14;rt_M15;rt_M16;rt_M17;rt_M18;rt_M19;rt_M20;rt_M21;rt_M22;rt_M23;rt_M24;rt_M25;rt_M26;Emotion.Pre;Excitement.Pre;Emotion.Post;Excitement.Post;DQgain;DQloss;DQmixed;RKgain;RKloss;RKmixed;medianTimeGain;medianTimeLoss;medianTimeMixed;M.alpha;M.gamma_gain;M.gamma_loss;M.lambda;M.luce
1;PayOne;Younger;female;28;$20,001 - $40,000;$25,001 - $50,000;31;7;5,5;6,5;A;A;B;B;B;B;B;A;A;B;A;A;B;B;B;A;A;A;B;A;B;B;A;B;B;A;A;A;B;A;B;B;A;A;A;B;A;A;A;A;A;A;A;A;A;B;A;B;A;B;A;A;B;B;B;B;A;B;B;A;B;A;B;B;A;A;B;A;A;A;B;A;B;B;B;B;A;A;25;8;10;8;9;5;18;6;8;15;7;25;16;97;104;4;8;5;4;7;7;5;6;8;28;6;6;8;19;12;12;11;6;13;38;28;10;19;10;10;8;33;9;7;23;6;51;11;7;11;9;7;59;9;8;14;21;11;19;34;59;59;12;25;63;18;93;21;12;22;20;22;10;16;18;9;15;11;5;3;5;4;,96;,76;,72;,52;,6;,56;8;10,5;18,5;,836830494360615;,762714228293785;,836881283401208;1,04638953681911;,297134293451231
2;PayOne;Younger;male;34;$60,001 - $100,000;$250,001 - $500,000;41;3;7,5;7,5;B;A;B;A;B;B;A;A;A;B;A;A;A;B;A;A;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;A;A;A;B;B;B;A;A;A;A;A;A;B;A;A;A;B;B;A;B;A;A;A;B;B;A;A;B;B;B;B;B;A;B;A;A;A;B;A;A;A;B;B;B;B;A;A;7;9;7;20;28;7;25;8;6;10;7;5;27;10;6;11;7;5;5;7;5;4;9;12;12;7;10;5;31;14;4;15;16;11;8;13;6;8;16;13;37;23;8;9;15;42;12;7;8;14;8;9;6;8;6;8;5;10;7;19;9;13;12;35;5;4;7;10;11;15;17;7;4;5;5;5;4;4;4;1;3;1;,8;,72;,72;,36;,4;,4;7;11,5;7;,83617081253394;,764318973803239;,837591757174366;1,21792779859306;,185138166357859
3;PayOne;Older;female;68;$0 - $20,000;$0 - $5,000;38;5;8;8;A;A;B;A;B;B;A;A;A;B;A;A;A;B;B;B;A;A;B;A;B;B;A;A;A;A;A;A;B;B;B;B;A;B;A;B;A;A;A;B;A;A;A;A;B;B;A;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;A;B;B;B;A;A;B;B;B;A;A;14;12;13;13;12;10;13;8;10;11;19;11;14;19;21;21;130;15;13;13;8;16;13;11;16;11;10;9;12;4;34;16;10;10;11;15;16;14;9;13;13;14;10;9;46;15;9;12;12;11;12;11;14;12;8;11;13;38;10;29;16;11;9;10;15;37;14;17;13;32;17;9;11;8;113;9;8;32;8;3;8;2;,8;,84;,72;,28;,52;,64;13;12;13;,838129194370725;,644550740705876;,819859999887829;1,34156837427555;,249389939613808
4;PayAll;Older;female;83;$0 - $20,000;$0 - $5,000;28;5;5;4,5;A;A;B;A;B;B;B;B;A;B;A;A;A;A;A;B;A;A;B;A;B;B;A;A;A;A;A;A;B;A;A;B;A;B;A;B;B;A;B;B;B;A;A;A;B;A;A;A;A;A;B;A;B;A;B;A;B;B;A;B;A;A;A;A;B;A;A;A;B;B;B;A;B;A;A;B;A;A;70;20;64;49;27;54;45;47;54;40;86;25;34;63;38;22;52;24;82;53;52;66;65;49;24;34;20;25;51;20;19;40;25;21;37;21;72;21;29;52;13;23;35;32;24;16;21;34;23;15;33;23;25;19;34;21;16;39;20;14;21;20;16;19;24;28;32;23;17;31;16;32;16;17;36;22;22;27;5;3;7;3;,72;,64;,48;,28;,24;,32;49;23,5;21,5;,910064347029577;,565044614341359;,735899763334648;1,49428529530094;,090905916085582
5;PayAll;Older;male;77;$40,001 - $60,000;$100,001 - $250,000;25;5;3,5;3,5;A;A;B;A;B;B;A;A;A;B;A;A;A;B;A;B;A;A;B;A;B;B;A;A;A;A;A;A;A;A;B;B;A;B;A;A;B;A;A;B;A;A;A;A;B;B;A;B;A;A;B;A;A;B;B;B;A;B;B;B;B;B;A;A;A;A;B;A;B;B;B;A;B;B;B;B;A;A;13;8;11;13;6;10;11;9;12;14;8;13;14;8;16;9;9;105;8;11;8;9;12;10;9;8;8;19;11;9;7;6;13;36;12;8;9;13;7;15;40;12;12;9;7;17;10;426;21;32;9;7;13;16;10;13;14;24;12;13;47;13;20;15;18;68;13;14;26;14;15;11;28;24;20;55;7;8;9;6;9;6;,76;,84;,76;,24;,44;,6;10;11,5;14,5;,959851529839785;,493502841141286;,937022353386665;1,52259519780078;,233674214532473
6;PayAll;Older;female;65;$0 - $20,000;$50,001 - $100,000;23;5,5;4;7,5;B;A;B;A;B;B;A;A;A;B;B;A;A;A;B;A;A;A;B;A;A;B;A;B;B;A;A;A;A;A;B;B;A;A;B;B;B;A;A;A;A;B;A;A;A;B;A;B;A;B;B;A;A;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;A;A;12;16;14;13;9;17;73;10;29;12;9;11;11;14;18;14;13;13;9;12;11;11;15;13;13;9;10;10;8;13;9;13;10;12;12;29;8;14;12;10;15;22;9;16;14;15;15;10;13;12;8;8;16;15;14;13;15;14;14;8;12;11;14;14;23;11;17;15;12;15;9;6;7;10;13;14;11;9;5;1;3;4;,68;,72;,64;,4;,56;,64;13;12;13,5;,933304560897311;,846911768494255;,950667129072096;,840127841350419;,1263688028444
7;PayOne;Older;female;64;$20,001 - $40,000;$100,001 - $250,000;31;6;5,5;7,5;A;A;B;B;A;A;A;A;A;B;A;A;A;B;B;A;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;A;A;B;A;B;B;A;A;A;A;A;A;A;B;B;A;B;B;A;B;A;A;A;B;B;A;B;A;A;B;A;A;A;B;A;A;A;B;B;B;B;B;B;B;B;A;A;6;7;3;4;3;11;4;6;5;8;8;7;5;5;8;5;6;7;4;4;4;4;5;10;2;6;11;5;7;7;5;5;6;7;7;9;6;4;5;5;6;12;8;12;9;16;5;6;11;9;4;10;11;6;5;7;7;6;6;7;10;6;5;8;4;4;5;5;5;7;7;4;5;5;5;5;5;12;6;6;5;4;,84;,92;,64;,48;,44;,56;5;7;5,5;,838372481661957;,753988757930151;,824859299358817;1,27503011173107;,172100652573714
8;PayOne;Younger;female;28;$40,001 - $60,000;I do not want to answer;46;8;5;7;B;B;B;A;B;B;B;A;A;B;A;A;B;B;B;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;B;B;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;A;B;A;A;B;B;B;A;B;B;A;B;B;A;A;A;A;B;B;B;B;A;A;A;B;B;B;A;A;23;15;11;6;10;9;7;9;9;12;8;18;13;14;10;13;11;10;12;8;8;9;12;11;15;12;25;8;14;7;9;12;11;22;14;10;21;8;8;11;14;7;12;13;14;17;11;13;7;13;12;13;13;16;14;37;11;25;19;15;22;19;32;10;59;18;13;16;18;46;10;14;9;30;12;37;19;18;4;5;5;5;,84;,84;,76;,48;,44;,68;11;12;18;,836204510285958;,7465137611639;,83765700676883;1,09378468576401;,310757583623046
9;PayOne;Older;male;63;More than $100,000;More than $500'000;26;7,5;1;3,5;A;A;B;B;B;B;A;A;A;B;A;A;B;B;A;B;A;A;B;A;B;B;B;B;B;A;A;A;A;A;B;B;A;B;A;B;A;A;B;A;A;A;A;A;B;B;A;B;A;A;B;A;A;B;B;B;A;B;B;B;B;A;A;A;A;A;B;A;A;A;A;B;A;B;B;B;A;A;83;27;54;67;18;22;37;14;77;107;44;85;70;18;15;14;18;19;57;17;13;16;24;37;44;82;30;12;50;31;30;27;21;43;25;18;19;22;32;33;37;13;55;40;33;47;17;31;67;42;29;20;48;27;15;41;25;56;51;71;56;91;15;22;26;48;56;45;60;86;82;26;67;16;20;18;28;18;7;2;5;3;,8;,92;,92;,36;,52;,68;32;30,5;43;,838434597117678;,751086534374179;,825671947626673;1,0792285392491;,283376282855409
10;PayAll;Older;female;63;More than $100,000;$250,001 - $500,000;29;8;3,5;7;A;A;B;A;B;A;B;A;A;B;B;A;B;A;B;B;A;A;B;A;A;B;A;A;A;A;A;B;B;A;B;B;A;A;B;B;B;A;A;B;B;A;A;A;B;A;B;A;B;A;B;A;A;B;B;B;B;B;B;B;B;A;B;A;B;A;B;B;A;A;B;A;B;B;B;B;A;A;7;9;4;6;7;7;9;7;11;8;6;11;9;12;9;8;10;10;7;4;7;7;7;7;16;6;10;8;8;5;8;5;13;8;8;9;13;3;11;7;11;8;10;6;7;6;8;3;7;4;6;11;5;12;10;9;7;13;12;6;9;7;8;7;5;9;8;9;6;13;7;6;9;8;6;5;6;5;7;6;7;4;,72;,6;,8;,36;,28;,48;7;8;7,5;,88462620687132;,709464411961879;,904387923937208;1,48513430914544;,10672591905408
