"ResponseID","Age","Gender","Education","Race","Income","Health","collect","LAScore","TrialType","Accept","Domain","Gamble","Block"
"R_31XFcrWZhV5ciPC",67,"Female",3,1,2,4,"first",3.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_6r523La45zVRK3n",53,"Female",3,1,10,3,"first",1.125,"M.P.1",0,"Mixed","Positive Skew","1"
"R_231vyEdtzUiphWc",58,"Male",3,1,7,4,"first",1.25,"M.P.1",1,"Mixed","Positive Skew","1"
"R_1jBrPBduD88fWfu",47,"Male",3,1,4,4,"first",3.5,"M.P.1",0,"Mixed","Positive Skew","1"
"R_12oodrXmGFYH3CK",47,"Female",4,1,11,4,"first",1.75,"M.P.1",1,"Mixed","Positive Skew","1"
"R_2cdvVXdbiXLPthE",72,"Female",2,1,2,4,"first",2,"M.P.1",1,"Mixed","Positive Skew","1"
"R_3Ld5i5x4odqcmW1",65,"Female",4,1,2,3,"first",3.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_3MsA3khodKusQSS",70,"Female",3,1,3,3,"first",10,"M.P.1",0,"Mixed","Positive Skew","1"
"R_4PjHmPbfb81opm9",31,"Female",2,1,4,5,"first",1.125,"M.P.1",0,"Mixed","Positive Skew","1"
"R_29al8bbGF8JDcbO",66,"Male",3,1,4,3,"first",10,"M.P.1",0,"Mixed","Positive Skew","1"
"R_1P62R1oi8Sp54oq",65,"Male",2,1,4,3,"first",10,"M.P.1",1,"Mixed","Positive Skew","1"
"R_1oqcy18UOywVvyU",22,"Female",3,1,8,4,"first",5.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_QcvvNE30E4DJv5n",68,"Male",3,5,4,1,"first",10,"M.P.1",0,"Mixed","Positive Skew","1"
"R_2yad6Qf8DIFLWTF",21,"Female",3,1,1,3,"first",5.25,"M.P.1",1,"Mixed","Positive Skew","1"
"R_2t3dE1ZVcA7Ququ",30,"Female",5,1,13,5,"first",1,"M.P.1",0,"Mixed","Positive Skew","1"
"R_3qQbLO7sH3wqjUd",24,"Female",2,1,2,4,"first",1.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_2qaDzRvrSYH2toB",55,"Male",4,1,5,3,"first",1.125,"M.P.1",1,"Mixed","Positive Skew","1"
"R_yU4UgwH4OSj0vER",34,"Female",4,4,5,3,"first",1.375,"M.P.1",1,"Mixed","Positive Skew","1"
"R_ufA7z9ijgPqMzDj",24,"Female",4,1,4,4,"first",7.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_DJm68pHfCGCTDX3",64,"Female",2,1,11,5,"first",1.125,"M.P.1",0,"Mixed","Positive Skew","1"
"R_3hxzTD15F7bxGxp",44,"Female",2,1,1,5,"first",5.5,"M.P.1",0,"Mixed","Positive Skew","1"
"R_3G3ZplsqrNgrtJS",60,"Male",4,1,4,3,"first",1.125,"M.P.1",1,"Mixed","Positive Skew","1"
"R_RlCvdt3Fc5BudVf",27,"Male",2,1,1,5,"first",10,"M.P.1",0,"Mixed","Positive Skew","1"
"R_3p57cfQWCMylZED",38,"Female",5,1,12,2,"first",0.5,"M.P.1",0,"Mixed","Positive Skew","1"
"R_2eUrtsnfkHT7Ix7",32,"Male",2,2,1,5,"first",0.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_3qPUMKsdJLkfqEQ",52,"Female",2,1,6,5,"first",0.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_2VsGE62rCmcbG7Q",70,"Male",3,1,8,5,"first",1.875,"M.P.1",1,"Mixed","Positive Skew","1"
"R_1OUdPJXW2ov73R4",53,"Female",2,1,4,4,"first",2.25,"M.P.1",1,"Mixed","Positive Skew","1"
"R_2QYvJ0Q1QtqrNuI",30,"Male",5,1,16,5,"first",10,"M.P.1",1,"Mixed","Positive Skew","1"
"R_2ahOJBu2P6rk0hx",25,"Male",3,2,4,2,"first",1.125,"M.P.1",1,"Mixed","Positive Skew","1"
"R_27HSWQQSYGqxAlM",63,"Female",3,1,9,4,"first",5.25,"M.P.1",1,"Mixed","Positive Skew","1"
"R_Z2xMKCyov7Xdd3X",71,"Male",4,1,11,4,"first",7.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_3haoPBDqvs642A7",53,"Female",3,1,5,3,"first",7.5,"M.P.1",1,"Mixed","Positive Skew","1"
"R_1E5wEYru4nIhqfU",70,"Female",2,1,2,4,"first",1.125,"M.P.1",1,"Mixed","Positive Skew","1"
