agegroup,m,sd,min_age,max_age,condition,domain,correl,study
YA,0.5077913279132792,0.06928184763338355,18,34,all,all,NA,study 1
OA,0.5025584795321637,0.055009636355194964,55,72,all,all,NA,study 1
NA,NA,NA,18,72,all,all,-0.06065194722609644,study 1
YA,0.4505420054200542,0.15120460715093412,18,34,1,gain,NA,study 1
OA,0.3574561403508772,0.17340348208155268,55,72,1,gain,NA,study 1
YA,0.5555555555555556,0.10868405470159882,18,34,1,loss,NA,study 1
OA,0.625,0.13851802337007957,55,72,1,loss,NA,study 1
YA,0.4817073170731707,0.16145365365256079,18,34,2,gain,NA,study 1
OA,0.46271929824561403,0.169576610967495,55,72,2,gain,NA,study 1
YA,0.5447154471544715,0.15430593121371203,18,34,2,loss,NA,study 1
OA,0.5752923976608187,0.17978129085255445,55,72,2,loss,NA,study 1
YA,0.4451219512195122,0.07171867427332489,18,34,3,gain,NA,study 1
OA,0.42105263157894735,0.10314525212826743,55,72,3,gain,NA,study 1
YA,0.5691056910569106,0.07122128789587442,18,34,3,loss,NA,study 1
OA,0.5738304093567251,0.08813950684133356,55,72,3,loss,NA,study 1
Cont.,NA,NA,18,72,1,gain,-0.30903718344664216,study 1
Cont.,NA,NA,18,72,1,loss,0.25534155848084167,study 1
Cont.,NA,NA,18,72,2,gain,-0.0764619466711745,study 1
Cont.,NA,NA,18,72,2,loss,0.08781755620093085,study 1
Cont.,NA,NA,18,72,3,gain,-0.11305443984677678,study 1
Cont.,NA,NA,18,72,3,loss,0.05555276974932726,study 1
YA,0.4591237579042457,0.10158600233561545,18,34,all,gain,NA,study 1
OA,0.4137426900584795,0.11675198258442213,55,72,all,gain,NA,study 1
YA,0.5564588979223125,0.08661072564809917,18,34,all,loss,NA,study 1
OA,0.591374269005848,0.10058518883623806,55,72,all,loss,NA,study 1
Cont.,NA,NA,18,72,all,gain,-0.22399090881078257,study 1
Cont.,NA,NA,18,72,all,loss,0.18217746884699643,study 1
Older,0.46043882978723405,0.0965115908056395,61,84,all,all,NA,study 2
Younger,0.4921542553191489,0.07746173365210576,18,34,all,all,NA,study 2
NA,NA,NA,18,84,all,all,-0.15143901463784287,study 2
Older,0.29583333333333334,0.20403321173872818,61,84,B1,gain,NA,study 2
Younger,0.4201388888888889,0.1502313031443329,18,34,B1,gain,NA,study 2
Older,0.6131944444444445,0.1818975337040608,61,84,B1,loss,NA,study 2
Younger,0.607638888888889,0.12291192371279447,18,34,B1,loss,NA,study 2
Older,0.290625,0.19177613366380597,61,84,B1_zero,gain,NA,study 2
Younger,0.3375,0.1665928106400814,18,34,B1_zero,gain,NA,study 2
Older,0.5475,0.18226771241045894,61,84,B1_zero,loss,NA,study 2
Younger,0.54625,0.15726600057453252,18,34,B1_zero,loss,NA,study 2
Older,0.4152777777777778,0.19446453583160744,61,84,B2,gain,NA,study 2
Younger,0.46458333333333335,0.1513712263403306,18,34,B2,gain,NA,study 2
Older,0.5298611111111111,0.2097304303495228,61,84,B2,loss,NA,study 2
Younger,0.5784722222222223,0.14836024872091355,18,34,B2,loss,NA,study 2
Older,0.43,0.22524248536896824,61,84,B2_zero,gain,NA,study 2
Younger,0.438125,0.1804080729479979,18,34,B2_zero,gain,NA,study 2
Older,0.531875,0.19972191901919245,61,84,B2_zero,loss,NA,study 2
Younger,0.534375,0.17728503652935626,18,34,B2_zero,loss,NA,study 2
Older,0.38402777777777775,0.1115300645813338,61,84,B3,gain,NA,study 2
Younger,0.42777777777777776,0.0826389258234857,18,34,B3,gain,NA,study 2
Older,0.5708333333333333,0.08970049660109407,61,84,B3,loss,NA,study 2
Younger,0.5791666666666667,0.08559974747769433,18,34,B3,loss,NA,study 2
Cont.,NA,NA,18,84,B1,gain,-0.3125553354568113,study 2
Cont.,NA,NA,18,84,B1,loss,0.035843263194844655,study 2
Cont.,NA,NA,18,84,B1_zero,gain,-0.11543185713280761,study 2
Cont.,NA,NA,18,84,B1_zero,loss,0.03588085522827868,study 2
Cont.,NA,NA,18,84,B2,gain,-0.15674159098934548,study 2
Cont.,NA,NA,18,84,B2,loss,-0.08667969830681216,study 2
Cont.,NA,NA,18,84,B2_zero,gain,-0.009390627905402545,study 2
Cont.,NA,NA,18,84,B2_zero,loss,0.012600917820970252,study 2
Cont.,NA,NA,18,84,B3,gain,-0.2363713014002487,study 2
Cont.,NA,NA,18,84,B3,loss,-0.042782933273878,study 2
Older,0.363031914893617,0.1450512420376695,61,84,all,gain,NA,study 2
Younger,0.4163563829787234,0.11236537285024915,18,34,all,gain,NA,study 2
Older,0.557845744680851,0.13243864200916905,61,84,all,loss,NA,study 2
Younger,0.5679521276595745,0.1099521617973727,18,34,all,loss,NA,study 2
Cont.,NA,NA,18,84,all,gain,-0.19663013642122978,study 2
Cont.,NA,NA,18,84,all,loss,-0.007305660385230435,study 2
