"subjid";"trialno";"choice";"RT";"keypressed";"position_gambleA";"position_outcome1";"rewA1";"rewA2";"probA1";"probA2";"rewB1";"rewB2";"probB1";"probB2";"typeA";"typeB";"domainA1";"domainA2";"domainB1";"domainB2";"rewA1int";"rewA2int";"rewB1int";"rewB2int";"order";"age";"gender";"reward_LA";"general_risk";"general_time";"general_impulsivity";"agegroup";"dsst_n_responses";"dsst_n_accurate";"dsst_pcnt_accurate";"numeracy_n_accurate";"numeracy_pcnt_accurate";"practice_ind";"EV_A";"EV_B";"SD_A";"SD_B";"CV_A";"CV_B";"safeoption";"higherEV";"higherSD";"higherCV";"higherEV_SD";"higher_EV_choice";"higher_SD_choice";"higher_CV_choice"
1;4;"A";3.22337822383;"j";"right";"up";-6;6;50;50;"-3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"loss";"gain";-6;6;-3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0;-3;6;0;Inf;0;1;"A";"A";"A";1;1;1;1
1;61;"B";9.69502872519;"f";"right";"down";-9;6;50;50;"(0.5 x 8) - (0.5 x 2)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-9;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1.5;3;7.5;0;5;0;1;"B";"A";"A";0;1;0;0
1;24;"A";18.2832905189;"f";"left";"down";-8;6;50;50;"-10";4;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-8;6;-10;4;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1;-3;7;7;7;2.33333333333333;0;"A";"B";"A";0;1;0;1
1;54;"A";13.462508755;"f";"left";"down";-9;6;50;50;"(0.5 x 5) - (0.5 x 5)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-9;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1.5;0;7.5;0;5;NA;1;"B";"A";NA;0;0;1;NA
1;31;"B";7.88774874106;"j";"left";"down";-7;6;50;50;"-6";6;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-7;6;-6;6;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-0.5;0;6.5;6;13;Inf;0;"B";"A";"B";0;1;0;1
1;27;"A";10.8251836328;"f";"left";"up";-5;6;50;50;"-8";8;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-5;6;-8;8;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0.5;0;5.5;8;11;Inf;0;"A";"B";"B";0;1;0;0
1;38;"A";5.20924503294;"j";"right";"down";-3;6;50;50;"-3";3;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-3;6;-3;3;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1.5;0;4.5;3;3;Inf;0;"A";"A";"B";1;1;1;0
1;41;"B";8.03128407791;"j";"left";"down";-6;6;50;50;"-1";7;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-6;6;-1;7;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0;3;6;4;Inf;1.33333333333333;0;"B";"A";"A";0;1;0;0
1;47;"A";18.133508673;"f";"left";"up";-9;6;50;50;"(0.5 x 2) - (0.5 x 8)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"loss";"gain";-9;6;-3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1.5;-3;7.5;0;5;0;1;"A";"A";"A";1;1;1;1
1;30;"A";9.07097598034;"j";"right";"up";-6;6;50;50;"-7";1;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-6;6;-7;1;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0;-3;6;4;Inf;1.33333333333333;0;"A";"A";"A";1;1;1;1
1;34;"B";6.54862280904;"j";"left";"down";-9;6;50;50;"-5";5;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-9;6;-5;5;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1.5;0;7.5;5;5;Inf;0;"B";"A";"B";0;1;0;1
1;19;"B";4.3577274853;"j";"left";"up";-7;6;50;50;"3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-7;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-0.5;3;6.5;0;13;0;1;"B";"A";"A";0;1;0;0
1;14;"B";4.86755937868;"f";"right";"up";-9;6;50;50;"0";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-9;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1.5;0;7.5;0;5;NA;1;"B";"A";NA;0;1;0;NA
1;60;"B";13.414379106;"j";"left";"down";-7;6;50;50;"(0.5 x 9) - (0.5 x 3)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-7;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-0.5;3;6.5;0;13;0;1;"B";"A";"A";0;1;0;0
1;25;"A";8.47841039559;"f";"left";"down";-4;6;50;50;"-9";9;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-4;6;-9;9;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1;0;5;9;5;Inf;0;"A";"B";"B";0;1;0;0
1;20;"B";4.84654771351;"j";"left";"up";-8;6;50;50;"3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-8;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1;3;7;0;7;0;1;"B";"A";"A";0;1;0;0
1;1;"A";5.5151458313;"f";"left";"down";-3;6;50;50;"-3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"loss";"gain";-3;6;-3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1.5;-3;4.5;0;3;0;1;"A";"A";"A";1;1;1;1
1;18;"B";5.69176306375;"j";"left";"down";-6;6;50;50;"3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-6;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0;3;6;0;Inf;0;1;"B";"A";"A";0;1;0;0
1;32;"A";12.1988861787;"f";"left";"up";-3;6;50;50;"-6";0;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-3;6;-6;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1.5;-3;4.5;3;3;1;0;"A";"A";"A";1;1;1;1
1;11;"A";7.18367967205;"f";"left";"down";-6;6;50;50;"0";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-6;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0;0;6;0;Inf;NA;1;"B";"A";NA;0;0;1;NA
1;28;"A";7.58904059871;"j";"right";"up";-9;6;50;50;"-8";2;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-9;6;-8;2;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1.5;-3;7.5;5;5;1.66666666666667;0;"A";"A";"A";1;1;1;1
1;33;"B";5.9560799429;"j";"left";"down";-4;6;50;50;"-6";12;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-4;6;-6;12;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1;3;5;9;5;3;0;"B";"B";"A";1;1;1;0
1;45;"A";11.5940530995;"f";"left";"up";-8;6;50;50;"(0.5 x 4) - (0.5 x 10)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"loss";"gain";-8;6;-3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1;-3;7;0;7;0;1;"A";"A";"A";1;1;1;1
1;40;"B";5.14164415123;"f";"right";"down";-9;6;50;50;"-2";8;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-9;6;-2;8;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1.5;3;7.5;5;5;1.66666666666667;0;"B";"A";"A";0;1;0;0
1;62;"B";9.06019267596;"f";"right";"up";-6;6;50;50;"(0.5 x 7) - (0.5 x 1)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-6;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0;3;6;0;Inf;0;1;"B";"A";"A";0;1;0;0
1;15;"B";11.4832513986;"f";"right";"up";-3;6;50;50;"3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-3;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1.5;3;4.5;0;3;0;1;"B";"A";"A";0;1;0;0
1;55;"A";9.01669568369;"f";"left";"up";-6;6;50;50;"(0.5 x 4) - (0.5 x 4)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-6;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0;0;6;0;Inf;NA;1;"B";"A";NA;0;0;1;NA
1;39;"B";4.1322990456;"j";"left";"down";-7;6;50;50;"-3";9;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-7;6;-3;9;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-0.5;3;6.5;6;13;2;0;"B";"A";"A";0;1;0;0
