agegroup,m,sd,EV_A,typeA,typeB,n,min_age,max_age,correl
OA,0.4963369963369963,0.11190847028167543,all,all,all,78,61,77,NA
YA,0.5067460317460317,0.11045689890893842,all,all,all,80,18,28,NA
cont.,NA,NA,all,all,all,474,18,77,-0.03688139209333164
OA,0.5152625152625152,0.17053011134822274,all,risky mixed,complex safe,78,61,77,NA
OA,0.4713064713064713,0.07264061080334354,all,risky mixed,risky mixed,78,61,77,NA
OA,0.5024420024420024,0.1389164662806647,all,risky mixed,simple safe,78,61,77,NA
YA,0.5279761904761905,0.1541998417809126,all,risky mixed,complex safe,80,18,28,NA
YA,0.46785714285714286,0.05759067045901269,all,risky mixed,risky mixed,80,18,28,NA
YA,0.5244047619047619,0.15938069925941686,all,risky mixed,simple safe,80,18,28,NA
cont.,NA,NA,all,risky mixed,complex safe,158,18,77,-0.03991206103715588
cont.,NA,NA,all,risky mixed,risky mixed,158,18,77,0.027017942913519347
cont.,NA,NA,all,risky mixed,simple safe,158,18,77,-0.068233242350141
OA,0.42735042735042733,0.4957543230034819,-0.5,risky mixed,complex safe,234,61,77,NA
OA,0.4358974358974359,0.4969368036887084,-1,risky mixed,complex safe,234,61,77,NA
OA,0.3888888888888889,0.48854303455704984,-1.5,risky mixed,complex safe,234,61,77,NA
OA,0.5085470085470085,0.5009985992926115,0,risky mixed,complex safe,234,61,77,NA
OA,0.5811965811965812,0.4944206518062,0.5,risky mixed,complex safe,234,61,77,NA
OA,0.594017094017094,0.492133935900928,1,risky mixed,complex safe,234,61,77,NA
OA,0.6709401709401709,0.4708789751949617,1.5,risky mixed,complex safe,234,61,77,NA
OA,0.358974358974359,0.48072796125280043,-0.5,risky mixed,risky mixed,234,61,77,NA
OA,0.6282051282051282,0.48432000095105315,-1,risky mixed,risky mixed,234,61,77,NA
OA,0.31196581196581197,0.4642890902672422,-1.5,risky mixed,risky mixed,234,61,77,NA
OA,0.5170940170940171,0.5007788951747699,0,risky mixed,risky mixed,234,61,77,NA
OA,0.41025641025641024,0.49293456292679555,0.5,risky mixed,risky mixed,234,61,77,NA
OA,0.3717948717948718,0.48432000095105315,1,risky mixed,risky mixed,234,61,77,NA
OA,0.7008547008547008,0.458865128622083,1.5,risky mixed,risky mixed,234,61,77,NA
OA,0.44017094017094016,0.4974716898900185,-0.5,risky mixed,simple safe,234,61,77,NA
OA,0.38461538461538464,0.48754713818372375,-1,risky mixed,simple safe,234,61,77,NA
OA,0.3547008547008547,0.4794481316955889,-1.5,risky mixed,simple safe,234,61,77,NA
OA,0.5427350427350427,0.49923825911842407,0,risky mixed,simple safe,234,61,77,NA
OA,0.5555555555555556,0.4979691709168306,0.5,risky mixed,simple safe,234,61,77,NA
OA,0.6068376068376068,0.4894994370141468,1,risky mixed,simple safe,234,61,77,NA
OA,0.6324786324786325,0.4831635839937574,1.5,risky mixed,simple safe,234,61,77,NA
YA,0.4583333333333333,0.4993021629537218,-0.5,risky mixed,complex safe,240,18,28,NA
YA,0.425,0.4953761091733724,-1,risky mixed,complex safe,240,18,28,NA
YA,0.375,0.48513467051486314,-1.5,risky mixed,complex safe,240,18,28,NA
YA,0.5375,0.4996337570795123,0,risky mixed,complex safe,240,18,28,NA
YA,0.6125,0.4881975215869925,0.5,risky mixed,complex safe,240,18,28,NA
YA,0.6291666666666667,0.48403738458844164,1,risky mixed,complex safe,240,18,28,NA
YA,0.6583333333333333,0.4752596002051602,1.5,risky mixed,complex safe,240,18,28,NA
YA,0.3375,0.473845215975564,-0.5,risky mixed,risky mixed,240,18,28,NA
YA,0.6708333333333333,0.47089265063705216,-1,risky mixed,risky mixed,240,18,28,NA
YA,0.3375,0.473845215975564,-1.5,risky mixed,risky mixed,240,18,28,NA
YA,0.5291666666666667,0.5001917345070559,0,risky mixed,risky mixed,240,18,28,NA
YA,0.3875,0.4881975215869925,0.5,risky mixed,risky mixed,240,18,28,NA
YA,0.3458333333333333,0.4766332121956273,1,risky mixed,risky mixed,240,18,28,NA
YA,0.6666666666666666,0.4723896932779146,1.5,risky mixed,risky mixed,240,18,28,NA
YA,0.4375,0.4971151083625835,-0.5,risky mixed,simple safe,240,18,28,NA
YA,0.4041666666666667,0.4917556003060433,-1,risky mixed,simple safe,240,18,28,NA
YA,0.375,0.48513467051486314,-1.5,risky mixed,simple safe,240,18,28,NA
YA,0.5333333333333333,0.49993026012937697,0,risky mixed,simple safe,240,18,28,NA
YA,0.5791666666666667,0.4947246109961016,0.5,risky mixed,simple safe,240,18,28,NA
YA,0.65,0.47796640346910185,1,risky mixed,simple safe,240,18,28,NA
YA,0.6916666666666667,0.4627701442569741,1.5,risky mixed,simple safe,240,18,28,NA
