age_group,frame,incentive,outcome,m,sd,min_age,max_age,n,correl
OA,give,hyp,perc_give,0.3904761904761905,0.2896631870030465,61,79,21,NA
OA,give,real,perc_give,0.4461538461538462,0.27456258919345766,60,79,26,NA
OA,take,hyp,perc_give,0.5222222222222223,0.3456691763625728,60,78,27,NA
OA,take,real,perc_give,0.4826086956521739,0.3433156166681343,60,82,23,NA
YA,give,hyp,perc_give,0.32153846153846155,0.2792245443256129,18,32,65,NA
YA,give,real,perc_give,0.2411764705882353,0.21938536537923675,18,32,68,NA
YA,take,hyp,perc_give,0.39420289855072466,0.28588565071649275,17,30,69,NA
YA,take,real,perc_give,0.26285714285714284,0.22533159370614944,18,33,70,NA
NA,give,hyp,perc_give,NA,NA,18,79,86,0.0948182408779476
NA,give,real,perc_give,NA,NA,18,79,94,0.35061204006498525
NA,take,hyp,perc_give,NA,NA,17,78,96,0.180445625528483
NA,take,real,perc_give,NA,NA,18,82,93,0.3502431437063158
