id,estimate,choice,age,gender,cond,cond_num
R_3n3nqCdgMjf08u9,20,Option B,31,Male,2 weeks,14
R_1dz9vn258jqg9bo,2,Option A,29,Male,6 months,182.5
R_3isbBXbhvx6sD43,14,Option B,26,Male,1 year,365
R_yKERDH0udnzweHL,120,Option B,33,Male,1 year,365
R_vSRDGeMGyjsXTmF,15,Option A,26,Female,2 weeks,14
R_cHYYdTud7FOr6oh,5,Option A,25,Male,1 day,1
R_10DiqFZJCWjMPON,20,Option B,33,Male,1 month,30.41666667
R_33l5a0cQYbKfEuO,15,Option B,24,Female,1 week,7
R_3KT2nlCo5NlGyq1,100,Option B,27,Female,1 year,365
R_aY35Gl6izUbIicx,11,Option B,35,Male,1 day,1
R_2XcWsqC0K2kcUIb,10,Option A,28,Female,6 months,182.5
R_3Masm8U7PaRW79i,25,Option B,28,Male,1 year,365
R_1rc9AYNsRXk710G,20,Option A,22,Female,1 month,30.41666667
R_1NsGnryFueSTLVf,15,Option A,32,Female,2 weeks,14
R_u7ZMGcvAlDqPZJv,20,Option B,55,Female,2 weeks,14
R_eEQ2PkpRJwwtrFL,15,Option B,25,Male,1 day,1
R_3CIuIO2KIIaqfLf,5,Option A,27,Male,1 week,7
R_WwBwrI4BDgr5MIN,11,Option B,45,Male,1 day,1
R_3Oeq6dwDUyOVso4,20,Option A,38,Female,1 year,365
R_3UvSCvKMgu5Soxz,15,Option B,35,Female,1 month,30.41666667
R_2v5JiDyWQKcgkyi,11,Option A,35,Male,6 months,182.5
R_1K6WbZMaIZvlZJw,12,Option B,46,Male,1 day,1
R_3j7lpKiylEyK7kO,15,Option A,32,Female,6 months,182.5
R_2vjHUSLtNIspnVn,20,Option B,49,Male,1 year,365
R_2SC4EOuPHji8g31,30,Option A,26,Male,2 weeks,14
R_qRwYPo4nwbwFz45,20,Option B,30,Male,1 month,30.41666667
R_3smFJvxZ41gwtuL,5,Option A,34,Male,1 week,7
R_2BzCsneZXtWVw7p,15,Option B,21,Male,2 weeks,14
R_27xpdbv7Bt9dX2r,100,Option B,22,Female,6 months,182.5
R_pfyCuhPcx35P8aZ,13,Option B,24,Male,1 day,1
R_7ZJLDbmT8ajt4jL,20,Option B,29,Male,1 week,7
R_1LYjqWbDmx3IwB8,30,Option A,35,Male,2 weeks,14
