id,raw_estimate,units,estimate,choice,age,gender,cond_num
R_1TclCTd1VXqTcRj,10,Day(s),10,Option A,41,Male,18
R_2wRXU89RSZXZS4d,1,Month(s),30.41666667,Option B,29,Male,23
R_3MFf9TOnDqlqNYg,1,Month(s),30.41666667,Option B,36,Male,33
R_1LRxkYsdubquwXc,3,Month(s),91.25,Option A,37,Male,28
R_ZDBJVQSs42vKnrX,6,Month(s),182.5,Option B,30,Male,18
R_3QPCjFHofygxRzm,2,Weeks(s),14,Option B,26,Male,33
R_1NqX4eSFdiY72tF,1,Month(s),30.41666667,Option B,27,Female,28
R_A0CZTP7asxLTmwN,7,Day(s),7,Option B,37,Female,18
R_22Kbni1o06RMp0l,7,Day(s),7,Option A,30,Female,13
R_3ncMvYqfcUkfNAw,1,Day(s),1,Option B,28,Male,13
R_3L72778LVIY8bT9,20,Day(s),20,Option A,40,Male,23
R_3RmSCQrn5gAzjb6,1,Years(s),365,Option B,27,Male,28
R_2VImSW4y4hN7yPF,30,Day(s),30,Option B,28,Female,33
R_UAratBrHb1KZ3Ox,6,Month(s),182.5,Option B,38,Male,18
R_28IIEvyACFyBX7U,1,Weeks(s),7,Option A,32,Male,13
R_cwnkVRCLvYaW2fD,1,Weeks(s),7,Option B,40,Female,38
R_3j65Mr1qlElVrX3,6,Month(s),182.5,Option B,34,Male,38
R_22QUoCLGMD3M2l7,12,Weeks(s),84,Option A,52,Female,13
R_3EETGuft4iL9270,40,Day(s),40,Option B,25,Male,38
R_DIvER5KPJRbWroB,2,Month(s),60.83333333,Option B,36,Male,18
R_2awCjCSTrV3sW3k,4,Day(s),4,Option A,34,Female,13
R_VOVO3Q8GcxKZ1qV,3,Day(s),3,Option A,29,Male,13
R_3KK2hvVMo9ADByQ,20,Day(s),20,Option B,30,Male,38
R_1qXqQsXQI5L9ASE,2,Weeks(s),14,Option B,53,Male,23
R_2vcbqaotyXqcRVE,30,Day(s),30,Option B,55,Male,38
R_2YPq4ydiaamKD5b,2,Day(s),2,Option B,31,Male,13
R_1DvdKPkhGMNbXoS,3,Weeks(s),21,Option B,33,Male,33
R_siJucIY4rAr936V,30,Day(s),30,Option A,24,Male,28
R_2s71cTzyZIGJ3MM,2,Month(s),60.83333333,Option B,31,Male,33
R_1loFa5XvwD7LEHW,10,Day(s),10,Option B,21,Male,18
R_2wAKoH4ofjG3WMp,2,Weeks(s),14,Option A,31,Male,28
R_2WYmuEWKzm9NgGl,1,Years(s),365,Option B,39,Male,33
R_r8fbZLrcd8hSSVr,2,Month(s),60.83333333,Option A,24,Male,33
R_30p2igUWsr8ab5C,3,Month(s),91.25,Option B,30,Male,18
R_1DCoJj2puikCA5c,1,Month(s),30.41666667,Option A,37,Female,28
R_1ovBDAqCiWr6rNZ,1,Month(s),30.41666667,Option B,43,Male,38
R_u3bK1QO8OpqFBBv,1,Month(s),30.41666667,Option B,20,Female,13
R_3PCHH4Z2P4AWypr,1,Weeks(s),7,Option B,32,Male,18
R_2yqfYpA4anj1tMW,3,Month(s),91.25,Option B,43,Female,18
R_2PBZIBdRIzNlNuH,1,Years(s),365,Option B,40,Male,28
R_1ilqa9eKgnP0dX6,3,Month(s),91.25,Option B,27,Female,38
R_siGmdBCnG85yxQ5,30,Day(s),30,Option B,46,Female,33
R_33dJFP0zsM60zK2,3,Month(s),91.25,Option B,45,Male,33
R_6xvvDxeSPnW90Wt,3,Day(s),3,Option B,25,Female,23
R_3lt4K5h5FHM89I0,7,Day(s),7,Option A,34,Male,13
R_dcH5Njko1RrtqmZ,7,Day(s),7,Option B,30,Male,33
R_2qeKyWMFie7cacW,30,Day(s),30,Option A,44,Male,28
R_6fg3NGnD3yewSQh,2,Month(s),60.83333333,Option A,23,Male,38
R_265VT9BTS5QbgLj,2,Month(s),60.83333333,Option B,33,Female,38
R_DNyURLgRmmP4V8Z,30,Day(s),30,Option A,37,Male,23
R_23ZDWkr1AeXbgSd,6,Month(s),182.5,Option B,58,Male,23
R_2sareQjLl9fxv5K,3,Month(s),91.25,Option A,63,Female,23
R_2uW0k7V4Zkacdc2,4,Weeks(s),28,Option A,23,Male,18
R_24odb9lncWQCdWP,1,Month(s),30.41666667,Option B,24,Male,13
