id,estimate,choice,comp_1,comp_2,task_experience,pastatt,age,gender,cond_num,fail_comp_1,fail_comp_2,comp_fail,novice
R_wRFAwkFgCVbq64x,15,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,43,Male,88,0,0,0,1
R_1hAWbBUGZJp0doV,100,Option B,10,Because of a typo,No,This is the first time I have completed this survey,28,Female,122,0,1,1,1
R_1QrpQsZTNy88xdY,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,19,Female,27,0,0,0,1
R_bIou4AaP1QL2sAF,15,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,40,Female,1,0,0,0,1
R_4PgG3CfZDx2OWIN,20,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,20,Male,12,0,0,0,1
R_1jeO86bLrgLJTea,20,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,41,Female,63,0,0,0,1
R_278tElPGAfourq5,20,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,31,Female,243,0,0,0,1
R_2fa0ezGnxaQJ6V5,8,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,26,Male,88,0,0,0,1
R_2WCCziJqWrFgT7H,20,Option B,10,I don't know,No,This is the first time I have completed this survey,23,Male,4,0,1,1,1
R_1OTbLOGVQTmdIxu,1.5,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,26,Male,12,0,0,0,1
R_1H1uScyEXjNzz2t,20,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,29,Male,63,0,0,0,1
R_3siWscehHWsPBXs,15,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,70,Male,122,0,0,0,0
R_2riP3RjW6SaAweM,50,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,58,Male,243,0,0,0,1
R_2vYVDQNdC58QK7K,10,Option A,10,Because of a printing error,Don't know,This is the first time I have completed this survey,34,Female,27,0,0,0,0
R_3HAqAtaSHatioGV,20,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,32,Male,1,0,0,0,1
R_3kMuaYDM22e1HIO,20,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,37,Female,243,0,0,0,1
