id,estimate,choice,comp_1,comp_2,task_experience,pastatt,age,gender,cond_num,fail_comp_1,fail_comp_2,comp_fail,novice
R_2EcOOxD5wqje3rp,3,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,29,Male,13,0,0,0,1
R_6yYquKLOjl19b1v,90,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,20,Female,29,0,0,0,1
R_6lDsDdeA7zVxZvj,7,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,28,Female,23,0,0,0,0
R_PBTKu3NHCDaTdKh,2,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,26,Female,11,0,0,0,1
R_2R8MK4HhR0wuGgl,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,25,Female,15,0,0,0,1
R_2f3vsV0PQXh7eh6,3,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,39,Female,38,0,0,0,1
R_2CHvu2OZgVAA81j,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,30,Female,18,0,0,0,1
R_1imO4rEwD9ESXNy,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,37,Female,13,0,0,0,1
R_9XqVM5WXijvu5Ed,7,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,29,Female,18,0,0,0,1
R_3J2838idPKVL342,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,29,Female,23,0,0,0,1
R_2AXxWkgvzaoM5YQ,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,37,Male,29,0,0,0,1
R_2PaIOvr2Hw8c3yY,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,28,Female,38,0,0,0,1
R_BMqNB5EE8qPNmQp,10,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,36,Female,11,0,0,0,1
R_1M7B04kHY5NnqEx,30,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,22,Female,15,0,0,0,1
R_24w4FNEGBafeBHN,5,Option B,10,Other,No,This is the first time I have completed this survey,37,Female,54,0,1,1,1
R_3JZdTyRlwKkNHdD,30,Option B,10,Because of a problem loading the text,No,This is the first time I have completed this survey,43,Female,38,0,1,1,1
R_3NvVUOil4hY7Btc,5,Option A,10,I don't know,No,This is the first time I have completed this survey,37,Female,15,0,1,1,1
R_1OTxnzJ8713kcZS,9,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,21,Female,11,0,0,0,1
