pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,effort_type,domain_frame,incentivization,study_context,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
2,Westbrook,2013,"What Is the Subjective Cost of Cognitive Effort? Load,Trait, and Aging Effects Revealed by Economic Preference",1,Experiment 1,sample 1,Effort discounting paradigm,description,cognitive,gain,incentivized,in person,50,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,75.1,NA,18,NA,63,NA,30,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,Subjective value,Subjective value of rewards for task engagement on the level 2 of the N-back task,NA,0.865951742627346,0.25469168900804195,0.05093833780160839,NA,NA,NA,0.5737265415549597,0.3887399463806973,0.07774798927613946,NA,NA,Figure 2,extreme group (m + sd),figure
2,Westbrook,2013,"What Is the Subjective Cost of Cognitive Effort? Load,Trait, and Aging Effects Revealed by Economic Preference",2,Experiment 1,sample 1,Effort discounting paradigm,description,cognitive,gain,incentivized,in person,50,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,75.1,NA,18,NA,63,NA,30,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,Subjective value,Subjective value of rewards for task engagement on the level 3 of the N-back task,NA,0.7506702412868633,0.24128686327077764,0.04825737265415553,NA,NA,NA,0.33512064343163533,0.3351206434316356,0.06702412868632712,NA,NA,Figure 2,extreme group (m + sd),figure
2,Westbrook,2013,"What Is the Subjective Cost of Cognitive Effort? Load,Trait, and Aging Effects Revealed by Economic Preference",3,Experiment 1,sample 1,Effort discounting paradigm,description,cognitive,gain,incentivized,in person,50,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,75.1,NA,18,NA,63,NA,30,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,Subjective value,Subjective value of rewards for task engagement on the level 4 of the N-back task,NA,0.4959785522788203,0.29490616621983906,0.05898123324396781,NA,NA,NA,0.20643431635388737,0.2949061662198388,0.05898123324396776,NA,NA,Figure 2,extreme group (m + sd),figure
2,Westbrook,2013,"What Is the Subjective Cost of Cognitive Effort? Load,Trait, and Aging Effects Revealed by Economic Preference",4,Experiment 2,sample 1,Effort discounting paradigm,description,cognitive,gain,incentivized,in person,33,17,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,78,NA,18,NA,67,NA,24,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,Area Under the Curve,Area Under the Curve of subjective value for levels N 2–4  in the N-back task,NA,0.7714285714285716,0.21624950496244247,0.05244820884986357,NA,NA,NA,0.4380102040816329,0.30143980929590114,0.07535995232397528,NA,NA,Figure 4,extreme group (m + sd),figure
4,Hess,2021,Predictors of Engagement in Young and Older Adults: The Role ofSpecific Activity Experience,1,single,sample 1,effort discounting task,description,cognitive,gain,incentivized,in person,71,32,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536,NA,0.5,NA,NA,NA,NA,NA,23.6,NA,72.1,NA,20,NA,64,NA,40,NA,83,NA,4.6,NA,4.9,NA,NA,NA,NA,Subjective value,Subjective value assigned to a level 4 memory load,NA,0.9480519480519479,0.24488546534598973,0.043290043290043156,NA,NA,NA,0.7563025210084036,0.2623948738822847,0.042016806722688926,NA,NA,Figure 4,extreme group (m + sd),figure
4,Hess,2021,Predictors of Engagement in Young and Older Adults: The Role ofSpecific Activity Experience,2,single,sample 1,effort discounting task,description,cognitive,gain,incentivized,in person,71,32,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536,NA,0.5,NA,NA,NA,NA,NA,23.6,NA,72.1,NA,20,NA,64,NA,40,NA,83,NA,4.6,NA,4.9,NA,NA,NA,NA,Subjective value,Subjective value assigned to a level 5 memory load,NA,0.87012987012987,0.244885465345991,0.04329004329004338,NA,NA,NA,0.6302521008403363,0.2623948738822861,0.04201680672268915,NA,NA,Figure 4,extreme group (m + sd),figure
4,Hess,2021,Predictors of Engagement in Young and Older Adults: The Role ofSpecific Activity Experience,3,single,sample 1,effort discounting task,description,cognitive,gain,incentivized,in person,71,32,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536,NA,0.5,NA,NA,NA,NA,NA,23.6,NA,72.1,NA,20,NA,64,NA,40,NA,83,NA,4.6,NA,4.9,NA,NA,NA,NA,Subjective value,Subjective value assigned to a level 6 memory load,NA,0.7965367965367963,0.26937401188058985,0.04761904761904767,NA,NA,NA,0.4915966386554624,0.2886343612705153,0.04621848739495815,NA,NA,Figure 4,extreme group (m + sd),figure
4,Hess,2021,Predictors of Engagement in Young and Older Adults: The Role ofSpecific Activity Experience,4,single,sample 1,effort discounting task,description,cognitive,gain,incentivized,in person,71,32,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536,NA,0.5,NA,NA,NA,NA,NA,23.6,NA,72.1,NA,20,NA,64,NA,40,NA,83,NA,4.6,NA,4.9,NA,NA,NA,NA,Subjective value,Subjective value assigned to a level 7 memory load,NA,0.7229437229437229,0.3428396514843864,0.06060606060606055,NA,NA,NA,0.36554621848739494,0.3411133360469715,0.054621848739495826,NA,NA,Figure 4,extreme group (m + sd),figure
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,1,Single,sample 1,Effort-based decision-making task,description,physical,gain,incentivized,in person,41,22,NA,19,NA,16,NA,11,NA,6,NA,9,NA,0.7272727272727273,NA,0.5789473684210527,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference Point,Effort Indifference point for level 1 force level,NA,3.550069685777044,1.4479688835124553,NA,NA,NA,NA,5.699807219775128,5.486226776447536,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group (m + sd),raw data
1,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,2,Single,sample 1,Effort-based decision-making task,description,physical,gain,incentivized,in person,41,22,NA,19,NA,16,NA,11,NA,6,NA,9,NA,0.7272727272727273,NA,0.5789473684210527,NA,NA,NA,NA,NA,23.1,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,NA,4.54,NA,NA,NA,NA,Indifference Point,Effort Indifference point for level 2 force level,NA,5.178032684117394,2.652405265844286,NA,NA,NA,NA,5.30422350018828,2.766311346733318,NA,NA,NA,Raw data (https://osf.io/hw4rk/),extreme group (m + sd),raw data
