pref,pub_id,study_id,study_label,study_es_id,es_id,first_author,year_of_publication,title_of_article,paper_section,study_context,task_name,task_type,effort_type,domain,incentivization,dv_units,dv_description,sample_code,total_n,young_total_n,old_total_n,n_incl_es,prop_female,young_prop_female,old_prop_female,age_min,mean_age,age_max,young_age_min,young_mean_age,young_age_max,old_age_min,old_mean_age,old_age_max,dec_diff,dv_young_mean,dv_young_sd,dv_old_mean,dv_old_sd,dv_correlation,cor_yi,cor_vi,cor_type,study_design,reversed_es,source_of_outcome,author_extract
effort,2,6,Westbrook experiment 1 (2013),1,1,Westbrook,2013,"What Is the Subjective Cost of Cognitive Effort? Load,Trait, and Aging Effects Revealed by Economic Preference",experiment 1,in person,Effort discounting paradigm,description,cognitive,gain,incentivized,Subjective value,Subjective value of rewards for task engagement on the level 2 of the N-back task,sample 1,50,25,25,50,NA,NA,NA,NA,NA,NA,18,21.8,30,63,75.1,88,5.33,0.865951742627346,0.25469168900804195,0.5737265415549597,0.3887399463806973,NA,0.4132317176214417,0.013053731073476176,RPB,extreme_group,1,figure,Bagaini
effort,2,6,Westbrook experiment 1 (2013),2,2,Westbrook,2013,"What Is the Subjective Cost of Cognitive Effort? Load,Trait, and Aging Effects Revealed by Economic Preference",experiment 1,in person,Effort discounting paradigm,description,cognitive,gain,incentivized,Subjective value,Subjective value of rewards for task engagement on the level 3 of the N-back task,sample 1,50,25,25,50,NA,NA,NA,NA,NA,NA,18,21.8,30,63,75.1,88,5.33,0.7506702412868633,0.24128686327077764,0.33512064343163533,0.3351206434316356,NA,0.5876230846910402,0.007326405674986727,RPB,extreme_group,1,figure,Bagaini
effort,2,6,Westbrook experiment 1 (2013),3,3,Westbrook,2013,"What Is the Subjective Cost of Cognitive Effort? Load,Trait, and Aging Effects Revealed by Economic Preference",experiment 1,in person,Effort discounting paradigm,description,cognitive,gain,incentivized,Subjective value,Subjective value of rewards for task engagement on the level 4 of the N-back task,sample 1,50,25,25,50,NA,NA,NA,NA,NA,NA,18,21.8,30,63,75.1,88,5.33,0.4959785522788203,0.29490616621983906,0.20643431635388737,0.2949061662198388,NA,0.44795157223212817,0.011922371886994063,RPB,extreme_group,1,figure,Bagaini
effort,2,7,Westbrook experiment 2 (2013),1,4,Westbrook,2013,"What Is the Subjective Cost of Cognitive Effort? Load,Trait, and Aging Effects Revealed by Economic Preference",experiment 2,in person,Effort discounting paradigm,description,cognitive,gain,incentivized,Area Under the Curve,Area Under the Curve of subjective value for levels N 2–4  in the N-back task,sample 1,33,17,16,33,NA,NA,NA,NA,NA,NA,18,20.5,24,67,78,89,5.75,0.7714285714285716,0.21624950496244247,0.4380102040816329,0.30143980929590114,NA,0.5501418685069525,0.01316901652223823,RPB,extreme_group,1,figure,Bagaini
effort,4,2,Hess (2021),1,5,Hess,2021,Predictors of Engagement in Young and Older Adults: The Role ofSpecific Activity Experience,single,in person,effort discounting task,description,cognitive,gain,incentivized,Subjective value,Subjective value assigned to a level 4 memory load,sample 1,71,32,39,71,NA,0.536,0.5,NA,NA,NA,20,23.6,40,64,72.1,83,4.85,0.9480519480519479,0.24488546534598973,0.7563025210084036,0.2623948738822847,NA,0.35522763721688777,0.010348083889971396,RPB,extreme_group,1,figure,Bagaini
effort,4,2,Hess (2021),2,6,Hess,2021,Predictors of Engagement in Young and Older Adults: The Role ofSpecific Activity Experience,single,in person,effort discounting task,description,cognitive,gain,incentivized,Subjective value,Subjective value assigned to a level 5 memory load,sample 1,71,32,39,71,NA,0.536,0.5,NA,NA,NA,20,23.6,40,64,72.1,83,4.85,0.87012987012987,0.244885465345991,0.6302521008403363,0.2623948738822861,NA,0.4293468378807416,0.00872833949418382,RPB,extreme_group,1,figure,Bagaini
effort,4,2,Hess (2021),3,7,Hess,2021,Predictors of Engagement in Young and Older Adults: The Role ofSpecific Activity Experience,single,in person,effort discounting task,description,cognitive,gain,incentivized,Subjective value,Subjective value assigned to a level 6 memory load,sample 1,71,32,39,71,NA,0.536,0.5,NA,NA,NA,20,23.6,40,64,72.1,83,4.85,0.7965367965367963,0.26937401188058985,0.4915966386554624,0.2886343612705153,NA,0.48151208752544383,0.007532160875855444,RPB,extreme_group,1,figure,Bagaini
effort,4,2,Hess (2021),4,8,Hess,2021,Predictors of Engagement in Young and Older Adults: The Role ofSpecific Activity Experience,single,in person,effort discounting task,description,cognitive,gain,incentivized,Subjective value,Subjective value assigned to a level 7 memory load,sample 1,71,32,39,71,NA,0.536,0.5,NA,NA,NA,20,23.6,40,64,72.1,83,4.85,0.7229437229437229,0.3428396514843864,0.36554621848739494,0.3411133360469715,NA,0.46664731570624435,0.007875356078456599,RPB,extreme_group,1,figure,Bagaini
effort,1,1,Chen (2020),1,9,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,single,in person,Effort-based decision-making task,description,physical,gain,incentivized,Indifference Point,Effort Indifference point for level 1 force level,sample 1,41,22,19,41,NA,0.7272727272727273,0.5789473684210527,NA,NA,NA,NA,23.1,NA,NA,69,NA,4.59,3.550069685777044,1.4479688835124553,5.699807219775128,5.486226776447536,NA,0.2728393572610748,0.0211081560827859,RPB,extreme_group,0,raw data,Bagaini
effort,1,1,Chen (2020),2,10,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making,single,in person,Effort-based decision-making task,description,physical,gain,incentivized,Indifference Point,Effort Indifference point for level 2 force level,sample 1,41,22,19,41,NA,0.7272727272727273,0.5789473684210527,NA,NA,NA,NA,23.1,NA,NA,69,NA,4.59,5.178032684117394,2.652405265844286,5.30422350018828,2.766311346733318,NA,0.023840145883247368,0.025604254309320177,RPB,extreme_group,0,raw data,Bagaini
