pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,domain_frame,incentivization,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
4,Fawns-Ritchie,2022,Psychological correlates of free colorectal cancer screening uptake in a Scottish sample: a cross-sectional observational study,1,Single,Sample 1,Multiple Price List,description,gain,hypothetical,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA,NA,65.33,NA,NA,NA,50,NA,NA,NA,80,NA,NA,NA,8.11,NA,NA,NA,NA,NA,NA,NA,Switching point,The point at which the participant switched from choosing the certain monthly income of £1500 to choosing the gamble (score range 1–4). Higher scores reflect more risk aversion.,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
5,Mok,2020,Is it time? Episodic imagining and the discounting of delayed and probabilistic rewards in young and older adults,1,Experiment 2,Sample 1,Probability Discounting Task,description,gain,hypothetical,74,38,NA,36,NA,16,NA,20,NA,22,NA,16,NA,0.42105263157894735,NA,0.5555555555555556,NA,NA,NA,NA,NA,20.26,NA,61.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,8.08,NA,NA,NA,NA,Area under the curve,Area under the curve for small reward uncued condition,NA,0.16,0.09,NA,NA,NA,NA,0.16,0.11,NA,NA,NA,NA,extreme group (m + sd),directly from article
5,Mok,2020,Is it time? Episodic imagining and the discounting of delayed and probabilistic rewards in young and older adults,2,Experiment 2,Sample 1,Probability Discounting Task,description,gain,hypothetical,74,38,NA,36,NA,16,NA,20,NA,22,NA,16,NA,0.42105263157894735,NA,0.5555555555555556,NA,NA,NA,NA,NA,20.26,NA,61.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,8.08,NA,NA,NA,NA,Area under the curve,Area under the curve for large reward uncued condition,NA,0.1,0.08,NA,NA,NA,NA,0.11,0.09,NA,NA,NA,NA,extreme group (m + sd),directly from article
6,Bickel,2014,"Using crowdsourcing to compare temporal, social temporal, and probability discounting among obese and non-obese individuals",1,Single,Sample 1,Probability Discounting Task,description,gain,hypothetical,1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556,NA,NA,NA,NA,NA,NA,NA,31.64,NA,NA,NA,18,NA,NA,NA,82,NA,NA,NA,11.25,NA,NA,NA,NA,NA,NA,NA,Discount rate,"Probability discount rate, log transformed",0.11417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
9,Schulman,2022,Age and Framing Effects in the Balloon Analogue Risk Task,1,Single,Sample 1,Balloon Analogue Risk Task,experience,gain,incentivized,128,65,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,0.54,NA,NA,NA,NA,NA,25.39,NA,68.72,NA,18,NA,60,NA,30,NA,87,NA,3.59,NA,5.24,NA,NA,NA,NA,Pumps,Average number of preselected pumps,NA,20.98,6.06,NA,NA,NA,NA,18.83,8.16,NA,NA,NA,NA,extreme group (m + sd),directly from article
9,Schulman,2022,Age and Framing Effects in the Balloon Analogue Risk Task,2,Single,Sample 1,Balloon Analogue Risk Task,experience,gain,incentivized,128,65,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,0.54,NA,NA,NA,NA,NA,25.39,NA,68.72,NA,18,NA,60,NA,30,NA,87,NA,3.59,NA,5.24,NA,NA,NA,NA,Explosions,Number of balloons exploded,NA,8.25,2.99,NA,NA,NA,NA,7.83,3.19,NA,NA,NA,NA,extreme group (m + sd),directly from article
9,Schulman,2022,Age and Framing Effects in the Balloon Analogue Risk Task,3,Single,Sample 2,Balloon Analogue Risk Task,experience,loss,incentivized,126,64,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,0.54,NA,NA,NA,NA,NA,25.39,NA,68.72,NA,18,NA,60,NA,30,NA,87,NA,3.59,NA,5.24,NA,NA,NA,NA,Pumps,Average number of preselected pumps,NA,19.19,6.01,NA,NA,NA,NA,22.74,8.24,NA,NA,NA,NA,extreme group (m + sd),directly from article
9,Schulman,2022,Age and Framing Effects in the Balloon Analogue Risk Task,4,Single,Sample 2,Balloon Analogue Risk Task,experience,loss,incentivized,126,64,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,0.54,NA,NA,NA,NA,NA,25.39,NA,68.72,NA,18,NA,60,NA,30,NA,87,NA,3.59,NA,5.24,NA,NA,NA,NA,Explosions,Number of balloons exploded,NA,7.48,2.93,NA,NA,NA,NA,8.95,3.47,NA,NA,NA,NA,extreme group (m + sd),directly from article
10,Rafaely,2006,Information selectivity in decision making by younger and older adults,1,Experiment 1,Subsample 1,Blackjack,description,gain,hypothetical,29,14,NA,15,NA,7,NA,8,NA,7,NA,7,NA,0.5,NA,0.5333333333333333,NA,NA,NA,NA,NA,20.9,NA,70.5,NA,18,NA,61,NA,33,NA,85,NA,3.2,NA,5.5,NA,NA,NA,NA,Percent Yes,Mean percentage of ‘‘yes’’ responses in the Learning Control Condition,NA,61.1,11.92,NA,NA,NA,NA,56.51,8.48,NA,NA,NA,NA,extreme group (m + sd),directly from article
10,Rafaely,2006,Information selectivity in decision making by younger and older adults,2,Experiment 1,Subsample 1,Blackjack,description,gain,hypothetical,29,14,NA,15,NA,7,NA,8,NA,7,NA,7,NA,0.5,NA,0.5333333333333333,NA,NA,NA,NA,NA,20.9,NA,70.5,NA,18,NA,61,NA,33,NA,85,NA,3.2,NA,5.5,NA,NA,NA,NA,Percent Yes,Mean percentage of ‘‘yes’’ responses in the Test Control Condition,NA,58.3,12.97,NA,NA,NA,NA,53.02,7.03,NA,NA,NA,NA,extreme group (m + sd),directly from article
10,Rafaely,2006,Information selectivity in decision making by younger and older adults,3,Experiment 3,Subsample 1,Decision Task,description,gain,hypothetical,24,12,NA,12,NA,8,NA,7,NA,4,NA,5,NA,0.6666666666666666,NA,0.5833333333333334,NA,NA,NA,NA,NA,20.1,NA,70.2,NA,18,NA,60,NA,28,NA,80,NA,2.03,NA,5.3,NA,NA,NA,NA,Percent Yes,Mean percentage of ‘‘yes’’ responses in the Control Condition,NA,57.83,5.06,NA,NA,NA,NA,59.63,8.04,NA,NA,NA,NA,extreme group (m + sd),directly from article
