pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,domain_frame,incentivization,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
4,Sparrow,2018,Aging and Altruism in Intertemporal Choice,1,Experiment 1,Sample 1,Dictator Game,description,NA,hypothetical,62,32,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,0.63,NA,NA,NA,NA,NA,25.28,NA,70.57,NA,18,NA,65,NA,35,NA,85,NA,5.22,NA,4.88,NA,NA,NA,NA,Amount sent,Amount sent to charity,NA,4.81,3.11,NA,NA,NA,NA,6.73,3.81,NA,NA,NA,NA,extreme group (m + sd),directly from article
4,Sparrow,2018,Aging and Altruism in Intertemporal Choice,2,Experiment 1,Sample 1,Dictator Game,description,NA,hypothetical,62,32,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,0.63,NA,NA,NA,NA,NA,25.28,NA,70.57,NA,18,NA,65,NA,35,NA,85,NA,5.22,NA,4.88,NA,NA,NA,NA,Amount sent,Amount sent to a stranger,NA,3.91,2.94,NA,NA,NA,NA,4.63,3.18,NA,NA,NA,NA,extreme group (m + sd),directly from article
4,Sparrow,2018,Aging and Altruism in Intertemporal Choice,3,Experiment 2,Sample 1,Dictator Game,description,NA,hypothetical,54,31,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,0.61,NA,NA,NA,NA,NA,20.84,NA,71.35,NA,18,NA,65,NA,30,NA,97,NA,2.67,NA,6.96,NA,NA,NA,NA,Amount sent,Amount sent to charity,NA,4.23,3.65,NA,NA,NA,NA,7.91,3.41,NA,NA,NA,NA,extreme group (m + sd),directly from article
4,Sparrow,2018,Aging and Altruism in Intertemporal Choice,4,Experiment 2,Sample 1,Dictator Game,description,NA,hypothetical,54,31,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,0.61,NA,NA,NA,NA,NA,20.84,NA,71.35,NA,18,NA,65,NA,30,NA,97,NA,2.67,NA,6.96,NA,NA,NA,NA,Amount sent,Amount sent to a stranger,NA,2.54,2.76,NA,NA,NA,NA,4.22,3.18,NA,NA,NA,NA,extreme group (m + sd),directly from article
5,Romano,2021,Generosity and Cooperation Across the Life Span: A Lab-in-the-Field Study,1,single,Sample1,Dictator Game,description,NA,incentivized,248,130,111,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5769,0.6306,0.5424,NA,NA,NA,NA,NA,28,50,70,NA,18,40,60,NA,39,59,90,NA,NA,NA,NA,NA,NA,NA,NA,Amount given,Amount given to a young recipient,NA,4.16,2.69,NA,4.54,2.92,NA,5.03,3.23,NA,NA,NA,NA,extreme group (m + sd),directly from article
5,Romano,2021,Generosity and Cooperation Across the Life Span: A Lab-in-the-Field Study,2,single,Sample1,Dictator Game,description,NA,incentivized,248,130,111,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5769,0.6306,0.5424,NA,NA,NA,NA,NA,28,50,70,NA,18,40,60,NA,39,59,90,NA,NA,NA,NA,NA,NA,NA,NA,Amount given,Amount given to a middle aged recipient,NA,3.74,2.46,NA,3.89,2.58,NA,3.84,3.01,NA,NA,NA,NA,extreme group (m + sd),directly from article
5,Romano,2021,Generosity and Cooperation Across the Life Span: A Lab-in-the-Field Study,3,single,Sample1,Dictator Game,description,NA,incentivized,248,130,111,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5769,0.6306,0.5424,NA,NA,NA,NA,NA,28,50,70,NA,18,40,60,NA,39,59,90,NA,NA,NA,NA,NA,NA,NA,NA,Amount given,Amount given to an older recipient,NA,4.28,2.89,NA,4.3,2.9,NA,5.17,3.43,NA,NA,NA,NA,extreme group (m + sd),directly from article
6,Pornpattananangkul,2019,Social Discounting in the Elderly: Senior Citizens are Good Samaritans to Strangers,1,single,Sample 1,Social Discounting Task,description,NA,hypothetical,78,39,NA,39,NA,25,NA,21,NA,NA,NA,NA,NA,0.6410256410256411,NA,0.5384615384615384,NA,NA,NA,NA,NA,22.79,NA,69.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,3.66,NA,NA,NA,NA,Area Under Curve,Overall social-discounting. higher values indicate more generosity toward socially distant others.,NA,0.2859,0.2025,NA,NA,NA,NA,0.4063,0.3159,NA,NA,NA,NA,extreme group (m + sd),directly from article
7,Sparrow,2019,Acute stress and altruism in younger and older adults,1,single,Sample 1,Dictator Game,description,NA,hypothetical,72,36,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,0.63,NA,NA,NA,NA,NA,21,NA,70.11,NA,18,NA,65,NA,30,NA,85,NA,3.44,NA,4.91,NA,NA,NA,NA,Amount sent,Amount sent to charity,NA,7.25,2.97,NA,NA,NA,NA,8.67,3.13,NA,NA,NA,NA,extreme group (m + sd),directly from article
7,Sparrow,2019,Acute stress and altruism in younger and older adults,2,single,Sample 1,Dictator Game,description,NA,hypothetical,72,36,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,0.63,NA,NA,NA,NA,NA,21,NA,70.11,NA,18,NA,65,NA,30,NA,85,NA,3.44,NA,4.91,NA,NA,NA,NA,Amount sent,Amount sent to a stranger,NA,4.36,3.29,NA,NA,NA,NA,7.22,3.17,NA,NA,NA,NA,extreme group (m + sd),directly from article
8,Gong,2019,Are Older Adults More Willing to Donate? The Roles of Donation Form and Social Relationship,1,single,Sample 1,Social Discounting Task,description,NA,hypothetical,155,89,NA,66,NA,54,NA,38,NA,35,NA,28,NA,0.6067415730337079,NA,0.5757575757575758,NA,NA,NA,NA,NA,30.12,NA,69.39,NA,18,NA,60,NA,44,NA,84,NA,4.52,NA,7.25,NA,NA,NA,NA,Discount rate,Degree of social discounting for Relative-Money trials,0.17,-2.07,1.2,NA,NA,NA,NA,-1.54,1.39,NA,NA,NA,NA,both,directly from article
8,Gong,2019,Are Older Adults More Willing to Donate? The Roles of Donation Form and Social Relationship,2,single,Sample 1,Social Discounting Task,description,NA,hypothetical,155,89,NA,66,NA,54,NA,38,NA,35,NA,28,NA,0.6067415730337079,NA,0.5757575757575758,NA,NA,NA,NA,NA,30.12,NA,69.39,NA,18,NA,60,NA,44,NA,84,NA,4.52,NA,7.25,NA,NA,NA,NA,Discount rate,Degree of social discounting for NonRelative-Money trials,0.17,-2.17,1.06,NA,NA,NA,NA,-1.7,1.82,NA,NA,NA,NA,both,directly from article
8,Gong,2019,Are Older Adults More Willing to Donate? The Roles of Donation Form and Social Relationship,3,single,Sample 1,Social Discounting Task,description,NA,hypothetical,155,89,NA,66,NA,54,NA,38,NA,35,NA,28,NA,0.6067415730337079,NA,0.5757575757575758,NA,NA,NA,NA,NA,30.12,NA,69.39,NA,18,NA,60,NA,44,NA,84,NA,4.52,NA,7.25,NA,NA,NA,NA,Area Under Curve,Index the donor’s overall generosity to people. Relative-Money trials,-0.15,7.27,0.95,NA,NA,NA,NA,7.03,1.03,NA,NA,NA,NA,both,directly from article
