pref,pub_id,study_id,study_label,study_es_id,es_id,first_author,year_of_publication,title_of_article,paper_section,study_context,task_name,task_type,domain,incentivization,dv_units,dv_description,sample_code,total_n,young_total_n,old_total_n,n_incl_es,prop_female,young_prop_female,old_prop_female,age_min,mean_age,age_max,young_age_min,young_mean_age,young_age_max,old_age_min,old_mean_age,old_age_max,dec_diff,dv_young_mean,dv_young_sd,dv_old_mean,dv_old_sd,dv_correlation,cor_yi,cor_vi,cor_type,study_design,reversed_es,source_of_outcome,author_extract
social,4,17,Sparrow experiment 1 (2018),1,1,Sparrow,2018,Aging and Altruism in Intertemporal Choice,experiment 1,in-person,Dictator Game,description,NA,hypothetical,Amount sent,Amount sent to charity,sample 1,62,32,30,62,NA,0.62,0.63,NA,NA,NA,18,25.28,35,65,70.57,85,4.528999999999999,4.81,3.11,6.73,3.81,NA,0.27088453493750275,0.013768482591266323,RPB,extreme_group,0,directly from article,Bagaini
social,4,17,Sparrow experiment 1 (2018),2,2,Sparrow,2018,Aging and Altruism in Intertemporal Choice,experiment 1,in-person,Dictator Game,description,NA,hypothetical,Amount sent,Amount sent to a stranger,sample 1,62,32,30,62,NA,0.62,0.63,NA,NA,NA,18,25.28,35,65,70.57,85,4.528999999999999,3.91,2.94,4.63,3.18,NA,0.11874772864606725,0.016082044186968496,RPB,extreme_group,0,directly from article,Bagaini
social,4,18,Sparrow experiment 2 (2018),1,3,Sparrow,2018,Aging and Altruism in Intertemporal Choice,experiment 2,online,Dictator Game,description,NA,hypothetical,Amount sent,Amount sent to charity,sample 1,54,31,23,54,NA,0.61,0.61,NA,NA,NA,18,20.84,30,65,71.35,97,5.050999999999999,4.23,3.65,7.91,3.41,NA,0.46294968340357323,0.010551727573782239,RPB,extreme_group,0,directly from article,Bagaini
social,4,18,Sparrow experiment 2 (2018),2,4,Sparrow,2018,Aging and Altruism in Intertemporal Choice,experiment 2,online,Dictator Game,description,NA,hypothetical,Amount sent,Amount sent to a stranger,sample 1,54,31,23,54,NA,0.61,0.61,NA,NA,NA,18,20.84,30,65,71.35,97,5.050999999999999,2.54,2.76,4.22,3.18,NA,0.27626668077404837,0.015757963654642076,RPB,extreme_group,0,directly from article,Bagaini
social,5,14,Romano (2021),1,5,Romano,2021,Generosity and Cooperation Across the Life Span: A Lab-in-the-Field Study,single,in-person,Dictator Game,description,NA,incentivized,Amount given,Amount given to a young recipient,sample1,248,130,118,248,NA,0.5769,0.5424,NA,NA,NA,18,28,39,60,70,90,4.2,4.16,2.69,5.03,3.23,NA,0.14584903377330535,0.0038521876542635053,RPB,extreme_group,0,directly from article,Bagaini
social,5,14,Romano (2021),2,6,Romano,2021,Generosity and Cooperation Across the Life Span: A Lab-in-the-Field Study,single,in-person,Dictator Game,description,NA,incentivized,Amount given,Amount given to a middle aged recipient,sample1,248,130,118,248,NA,0.5769,0.5424,NA,NA,NA,18,28,39,60,70,90,4.2,3.74,2.46,3.84,3.01,NA,0.018328367268030075,0.00406162215210659,RPB,extreme_group,0,directly from article,Bagaini
social,5,14,Romano (2021),3,7,Romano,2021,Generosity and Cooperation Across the Life Span: A Lab-in-the-Field Study,single,in-person,Dictator Game,description,NA,incentivized,Amount given,Amount given to an older recipient,sample1,248,130,118,248,NA,0.5769,0.5424,NA,NA,NA,18,28,39,60,70,90,4.2,4.28,2.89,5.17,3.43,NA,0.13991177934592353,0.0038688963292089467,RPB,extreme_group,0,directly from article,Bagaini
social,6,11,Pornpattananangkul (2019),1,8,Pornpattananangkul,2019,Social Discounting in the Elderly: Senior Citizens are Good Samaritans to Strangers,single,in-person,Social Discounting Task,description,NA,hypothetical,Area Under Curve,Overall social-discounting. higher values indicate more generosity toward socially distant others.,sample 1,78,39,39,78,NA,0.6410256410256411,0.5384615384615384,NA,NA,NA,NA,22.79,NA,NA,69.69,NA,4.69,0.2859,0.2025,0.4063,0.3159,NA,0.2240125749540683,0.011564983151946021,RPB,extreme_group,0,directly from article,Bagaini
social,7,16,Sparrow (2019),1,9,Sparrow,2019,Acute stress and altruism in younger and older adults,single,in-person,Dictator Game,description,NA,hypothetical,Amount sent,Amount sent to charity,sample 1,72,36,36,72,NA,0.58,0.63,NA,NA,NA,18,21,30,65,70.11,85,4.9110000000000005,7.25,2.97,8.67,3.13,NA,0.22969746230918045,0.01247048827142222,RPB,extreme_group,0,directly from article,Bagaini
social,7,16,Sparrow (2019),2,10,Sparrow,2019,Acute stress and altruism in younger and older adults,single,in-person,Dictator Game,description,NA,hypothetical,Amount sent,Amount sent to a stranger,sample 1,72,36,36,72,NA,0.58,0.63,NA,NA,NA,18,21,30,65,70.11,85,4.9110000000000005,4.36,3.29,7.22,3.17,NA,0.4095505518332652,0.009042365090261104,RPB,extreme_group,0,directly from article,Bagaini
