pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,domain_frame,incentivization,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
4,Rieger,2015,On the Generality of Age Differences in Social and Nonsocial Decision Making,1,Single,sample 1,Time Preferences Game,description,gain,incentivized,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09999999999999998,NA,NA,NA,0.9,NA,NA,NA,53,NA,NA,NA,17,NA,NA,NA,92,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,Switching point,Measures of relative importance of time relative to money,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
7,Fiorenzato,2022,One-year into COVID-19 pandemic: Decision-making and mental-health outcomes and their risk factors,1,single,sample 1,Delay-Discounting Task,description,gain,hypothetical,586,NA,NA,NA,397,NA,NA,NA,NA,NA,NA,NA,0.6774744027303754,NA,NA,NA,NA,NA,NA,NA,34.8,NA,NA,NA,18,NA,NA,NA,73,NA,NA,NA,12.72,NA,NA,NA,NA,NA,NA,NA,Area under the curve,From the indifference points at each delay,-0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
8,Tunney,2022,Individual differences in decision-making: evidence for the scarcity hypothesis from the English Longitudinal Study of Ageing,1,Single,Sample 1,Time Preference Task,description,gain,hypothetical,1063,NA,NA,NA,583,NA,NA,NA,NA,NA,NA,NA,0.548447789275635,NA,NA,NA,NA,NA,NA,NA,63.12,NA,NA,NA,50,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,0.185,NA,NA,NA,Larger-Later choices,Number of larger-later choices,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
9,Macedo,2022,Delay Discounting in Aging: The Influence of Cognitive and Psychological Variables,1,Single,sample 1,Monetary Choice Questionnaire,description,gain,hypothetical,88,30,30,28,49,15,17,17,NA,NA,NA,NA,NA,0.5,NA,0.6071428571428571,NA,NA,NA,NA,46.05,26.57,48.37,64.43,19,19,40,60,73,34,55,73,16.19,NA,5.5,4.17,NA,NA,NA,NA,Discounting rate,Parameter k (log) for small rewards,0.054,-2.1,0.63,NA,-2.01,0.62,NA,-2.06,0.8,NA,NA,NA,NA,both,directly from article
9,Macedo,2022,Delay Discounting in Aging: The Influence of Cognitive and Psychological Variables,2,Single,sample 1,Monetary Choice Questionnaire,description,gain,hypothetical,88,30,30,28,49,15,17,17,NA,NA,NA,NA,NA,0.5,NA,0.6071428571428571,NA,NA,NA,NA,46.05,26.57,48.37,64.43,19,19,40,60,73,34,55,73,16.19,NA,5.5,4.17,NA,NA,NA,NA,Discounting rate,Parameter k (log) for medium rewards,0.148,-2.31,0.6,NA,-2.22,0.63,NA,-2.12,0.83,NA,NA,NA,NA,both,directly from article
9,Macedo,2022,Delay Discounting in Aging: The Influence of Cognitive and Psychological Variables,3,Single,sample 1,Monetary Choice Questionnaire,description,gain,hypothetical,88,30,30,28,49,15,17,17,NA,NA,NA,NA,NA,0.5,NA,0.6071428571428571,NA,NA,NA,NA,46.05,26.57,48.37,64.43,19,19,40,60,73,34,55,73,16.19,NA,5.5,4.17,NA,NA,NA,NA,Discounting rate,Parameter k (log) for large rewards,0.219,-2.55,0.46,NA,-2.41,0.66,NA,-2.21,0.89,NA,NA,NA,NA,both,directly from article
10,Kawakami,2020,Time preference and personal value: a population-based cross-sectional study in Japan,1,single,sample 1,Three-Item Choice-Based Measure,description,gain,hypothetical,1880,NA,NA,NA,NA,NA,NA,NA,1048,NA,NA,NA,0.44299999999999995,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Time discount rate,Averaged discounting rate across questions,-0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
10,Kawakami,2020,Time preference and personal value: a population-based cross-sectional study in Japan,2,single,sample 2,Three-Item Choice-Based Measure,description,gain,hypothetical,1958,NA,NA,NA,NA,NA,NA,NA,1099,NA,NA,NA,0.41500000000000004,NA,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hyperbolic time discounting,Compared hyperbolic time discounting rates for question 2 and question 3,-0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
11,Fawns-Ritchie,2022,Psychological correlates of free colorectal cancer screening uptake in a Scottish sample: a cross-sectional observational study,1,single,Subsample 1,Multiple Price List,description,gain,hypothetical,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.33,NA,NA,NA,50,NA,NA,NA,80,NA,NA,NA,8.23,NA,NA,NA,NA,NA,NA,NA,Switching point,The measure of time preference used here was the point at which the participant switched from choosing the money now to choosing the money in 1 month’s time (score range 1–8). A higher score reflects more present orientation.,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
15,Schüller,2021,Temporal discounting in adolescents and adults with Tourette syndrome,1,Study 2,sample 1,Delay-Discounting Task,description,gain,incentivized,25,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0.31999999999999995,NA,NA,NA,NA,NA,NA,NA,29.4,NA,NA,NA,19,NA,NA,NA,49,NA,NA,NA,9.28,NA,NA,NA,NA,NA,NA,NA,Discount rate,Discount rate (k) of the matched control group,-0.41582338163551863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
18,Felton,2019,Improvement of Working Memory is a Mechanism for Reductions in Delay Discounting Among Mid-Age Individuals in an Urban Medically Underserved Area,1,single,sample 1,Delay-Discounting Task,description,gain,hypothetical,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513,NA,NA,NA,0.487,NA,NA,NA,51.2,NA,NA,NA,40,NA,NA,NA,60,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,delay discounting rate,The rate of  delay discounting at the pre-training phase for the $50 condition. Control condition at T1,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
18,Felton,2019,Improvement of Working Memory is a Mechanism for Reductions in Delay Discounting Among Mid-Age Individuals in an Urban Medically Underserved Area,2,single,sample 1,Delay-Discounting Task,description,gain,hypothetical,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513,NA,NA,NA,0.487,NA,NA,NA,51.2,NA,NA,NA,40,NA,NA,NA,60,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,delay discounting rate,The rate of  delay discounting at the pre-training phase for the $50 condition. Control condition at T2,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
18,Felton,2019,Improvement of Working Memory is a Mechanism for Reductions in Delay Discounting Among Mid-Age Individuals in an Urban Medically Underserved Area,3,single,sample 1,Delay-Discounting Task,description,gain,hypothetical,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513,NA,NA,NA,0.487,NA,NA,NA,51.2,NA,NA,NA,40,NA,NA,NA,60,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,delay discounting rate,The rate of  delay discounting at the post-training phase for the $1000 condition.Control condition at T2,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
19,Mok,2020,Is it time? Episodic imagining and the discounting of delayed and probablistic rewards in young and older adults,1,Experiment 1,sample 1,Delay-Discounting Task,description,gain,hypothetical,114,58,NA,56,NA,26,NA,28,NA,NA,NA,NA,NA,0.4482758620689655,NA,0.5,NA,NA,NA,NA,NA,19.97,NA,64.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,8.58,NA,NA,NA,NA,Area Under Curve,Area-under-the-Curve reported in the uncued condition for smaller delayed reward ($100),NA,0.25,0.22,NA,NA,NA,NA,0.35,0.22,NA,NA,NA,data available as supplement,extreme group (m + sd),raw data
19,Mok,2020,Is it time? Episodic imagining and the discounting of delayed and probablistic rewards in young and older adults,2,Experiment 1,sample 1,Delay-Discounting Task,description,gain,hypothetical,114,58,NA,56,NA,26,NA,28,NA,NA,NA,NA,NA,0.4482758620689655,NA,0.5,NA,NA,NA,NA,NA,19.97,NA,64.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,8.58,NA,NA,NA,NA,Area Under Curve,Area-under-the-Curve reported in the uncued condition for larger delayed reward ($2000),NA,0.33,0.28,NA,NA,NA,NA,0.44,0.26,NA,NA,NA,data available as supplement,extreme group (m + sd),raw data
