first_author,year_of_publication,title_of_article,lottery_set,odds,possible_reward,paper_section,dv_young_mean,dv_old_mean,dv_description
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,1%,1000,Experiment 1,0.34,0.18,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.01 odds and a possible reward of 1000."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,5%,200,Experiment 1,0.29,0.21,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.05 odds and a possible reward of 200."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,10%,100,Experiment 1,0.26,0.24,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.1 odds and a possible reward of 100."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,20%,50,Experiment 1,0.24,0.16,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.2 odds and a possible reward of 50."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,40%,25,Experiment 1,0.42,0.24,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.4 odds and a possible reward of 25."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,60%,16.67,Experiment 1,0.55,0.32,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.6 odds and a possible reward of 16.67."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,80%,12.5,Experiment 1,0.55,0.37,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.8 odds and a possible reward of 12.5."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,90%,11.11,Experiment 1,0.34,0.26,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.9 odds and a possible reward of 11.11."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,95%,10.53,Experiment 1,0.42,0.32,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.95 odds and a possible reward of 10.53."
Mather,2012,Risk Preferences and Aging: The “Certainty Effect” in Older Adults’ Decision Making,Equal-EV sure-gain set,99%,10.1,Experiment 1,0.37,0.32,"Proportion of participants who selected the risky or riskier option in Equal-EV sure-gain set trials, with 0.99 odds and a possible reward of 10.1."
