"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T4PJJCPT","journalArticle","2017","Wolfe, MT; Patel, PC","Instant gratification: temporal discounting and self-employment","SMALL BUSINESS ECONOMICS","","0921-898X","10.1007/s11187-016-9823-9","","Differences in temporal discounting could separate self-employed individuals from employees working for wages. Drawing on a sample of 13,198 individuals, from the 2012-2013 cross-sectional STEP Skills Measurement Survey, we find that higher temporal discounting is more positively associated with the likelihood of self-employment. We further find that younger individuals with higher temporal discounting are more likely to engage in self-employment. The association of lower socioeconomic status at a young age or those who experienced economic shocks at a young age with the likelihood of self-employment is only significant when interaction effects of temporal discounting and age are present in the model. Risk seeking is not associated with the likelihood of engagement in self-employment under higher discounting. These findings have implications for the self-employment literature as well as the literature on behavioral decision making.","2017-04","2022-01-14 14:48:28","2022-03-14 12:17:16","","861-882","","4","48","","","","","","","","","","","","","","WOS:000400384800004","","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=rKsuNOEAAAAJ&amp;cstart=20&amp;pagesize=80&amp;sortby=pubdate&amp;citation_for_view=rKsuNOEAAAAJ:roLk4NBRz8UC</p>","/Users/abagaini/Zotero/storage/63BNIBES/Wolfe and Patel - 2017 - Instant gratification temporal discounting and se.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WMQXPFN","journalArticle","2012","Roalf, David R.; Mitchell, Suzanne H.; Harbaugh, William T.; Janowsky, Jeri S.","Risk, Reward, and Economic Decision Making in Aging","The Journals of Gerontology: Series B","","1079-5014","10.1093/geronb/gbr099","10.1093/geronb/gbr099","Older adults’ decision quality is considered to be worse than that of younger adults. This age-related difference is often attributed to reductions in risk tolerance. Little is known about the circumstances that affect older adults’ decisions and whether risk attitudes directly influence economic decisions. We measure the influence of risk attitudes on age-related differences in decision making in both nonsocial and social contexts.Risk attitudes and economic decision making were measured in 30 healthy older adults and 29 healthy younger adults.Older adults report being less impulsive, sensation seeking and risk tolerant than younger adults. Age did not affect a measure of nonsocial economic decision making. Older adults were more likely to reject unfair divisions of money during an economic social-bargaining game and more likely to make equitable divisions of money during social-giving game. These age-related differences were determined in part by individuals’ self-reported risk taking.We conclude that age-related differences in decision making are domain specific and that some social economic decision making is influenced by risk attitudes. Older adults are more risk avoidant, but this does not alter their willingness to wait for reward in a nonsocial context. Perceiving more risk is associated with an unwillingness to accept an unfair offer in social economic contexts and ultimately leads to poorer outcomes for older adults.","2012-05-01","2022-03-11 13:07:48","2022-03-14 12:15:25","2022-03-11 13:07:48","289-298","","3","67B","","The Journals of Gerontology: Series B","","","","","","","","","","","","","Silverchair","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=OJCBQJkAAAAJ&amp;cstart=20&amp;pagesize=80&amp;citation_for_view=OJCBQJkAAAAJ:YsMSGLbcyi4C</p>","/Users/abagaini/Zotero/storage/GS6HWHPV/Roalf et al. - 2012 - Risk, Reward, and Economic Decision Making in Agin.pdf; /Users/abagaini/Zotero/storage/YPBJYXWP/Roalf et al. - 2012 - Risk, Reward, and Economic Decision Making in Agin.pdf; /Users/abagaini/Zotero/storage/QQQCPD5A/566301.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CITSS9VY","journalArticle","2019","Sparrow, Erika P.; Armstrong, Bonnie A.; Fiocco, Alexandra J.; Spaniol, Julia","Acute stress and altruism in younger and older adults","Psychoneuroendocrinology","","0306-4530","10.1016/j.psyneuen.2018.09.025","https://www.sciencedirect.com/science/article/pii/S0306453018306772","Recent studies of aging and decision making suggests that altruism increases with age. It is unclear, however, whether this pattern holds when choices are made under stress, as is often the case in real-world scenarios. The current study used an intertemporal choice task in which younger and older adults received a financial endowment before making a series of consequential intertemporal decisions involving gains, losses and charitable donations. Preceding the choice task, participants were exposed to a laboratory stressor. Physiological stress reactivity was a predictor of altruistic decision making in younger adults, such that individuals with higher stress reactivity made more generous choices. Older adults showed higher altruism than younger adults overall, with altruism unrelated to stress reactivity in older adults. These findings are consistent with an age-related change in the mechanisms underlying altruistic behavior.","2019-02-01","2022-03-11 13:10:32","2022-03-11 13:39:55","2022-03-11 13:10:32","10-17","","","100","","Psychoneuroendocrinology","","","","","","","","en","","","","","ScienceDirect","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=jCnPtjMAAAAJ&amp;citation_for_view=jCnPtjMAAAAJ:Y0pCki6q_DkC</p>","/Users/abagaini/Zotero/storage/XFAHXVCB/S0306453018306772.html","","","Aging; Charitable giving; Cortisol; Intertemporal choice; Psychosocial stress; Temporal discounting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7DYT2GC","journalArticle","2018","Sparrow, Erika P.; Spaniol, Julia","Aging and altruism in intertemporal choice","Psychology and Aging","","1939-1498","10.1037/pag0000223","","In addition to making decisions about gains and losses that affect only ourselves, we often make decisions that affect others. Research on life span changes in motivation suggests that altruistic motives become stronger with age, but no prior research has examined how altruism affects tolerance for temporal delays. Experiment 1 used a realistic financial decision making task involving choices for gains, losses, and donations. Each decision required an intertemporal choice between a smaller-immediate and a larger-later option. Participants more often chose the larger-later option in the context of donations than in the context of losses; thus, parting with more of their overall capital when the act of doing so benefited a charity. As predicted, the magnitude of this “altruism effect” was amplified in older relative to younger adults. This pattern was replicated in a second experiment that was conducted online to minimize the influence of demand characteristics. Overall, these findings add to the literature on an age-related increase in altruism, and are the first to demonstrate its effects on intertemporal choice. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","2018","2022-03-11 13:10:53","2022-03-11 13:40:00","","315-324","","2","33","","","","","","","","","","","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=jCnPtjMAAAAJ&amp;citation_for_view=jCnPtjMAAAAJ:Tyk-4Ss8FVUC</p>","/Users/abagaini/Zotero/storage/GADFQKWE/2018-06519-001.html; /Users/abagaini/Zotero/storage/5IT8CPLM/2018-06519-001.html","","","Decision Making; Age Differences; Test Construction; Altruism; Delay Discounting; Rewards; Charitable Behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGRUCKH8","journalArticle","2010","Bauer, Michal; Chytilová, Julie","The Impact of Education on Subjective Discount Rate in Ugandan Villages","Economic Development and Cultural Change","","0013-0079","10.1086/652475","https://www.journals.uchicago.edu/doi/10.1086/652475","Heterogeneity in time discounting may reinforce the existing barriers to save and invest faced by rural populations in developing countries. We elicit a subjective discount rate for a varied sample of Ugandan villagers. In accordance with other studies, we have found the discount rate to decrease with education. We examine this correlation further by testing the causal effect of education and exploit two different sources of its variation: school frequency across villages and the number of the respondents’ school‐going years that overlap with the era of the dictator Idi Amin’s rule. For men, we find that education has a significant impact on their discount rate, similar in magnitude for both types of instruments and robust to observable characteristics. This finding highlights the importance of education in development.","2010-07","2022-03-11 13:14:21","2022-03-11 13:14:26","2022-03-11 13:14:21","643-669","","4","58","","","","","","","","","","","","","","","journals.uchicago.edu (Atypon)","","Publisher: The University of Chicago Press","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=SQwQ3RUAAAAJ&amp;citation_for_view=SQwQ3RUAAAAJ:u-x6o8ySG0sC</p>","/Users/abagaini/Zotero/storage/FRLQJNYG/Bauer and Chytilová - 2010 - The Impact of Education on Subjective Discount Rat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FNSUFBUZ","journalArticle","","Buono, Frank D.; Whiting, Seth W.; Sprong, Matthew E.","Comparison of temporal discounting among obese college students and obese adults.","Behavior Analysis: Research and Practice","","2372-9414","10.1037/bar0000015","https://psycnet.apa.org/fulltext/2015-27705-001.pdf","","20150622","2022-03-11 13:15:52","2022-03-11 13:40:01","2022-03-11 13:15:52","139","","2","15","","","","","","","","","","","","","","","psycnet.apa.org","","Publisher: US: Educational Publishing Foundation","<p>No link</p>","/Users/abagaini/Zotero/storage/4MJEEQGZ/2015-27705-001.html; /Users/abagaini/Zotero/storage/6HKWJXJQ/2015-27705-001.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVZD2XNU","journalArticle","2012","Eppinger, Ben; Nystrom, Leigh E.; Cohen, Jonathan D.","Reduced Sensitivity to Immediate Reward during Decision-Making in Older than Younger Adults","PLOS ONE","","1932-6203","10.1371/journal.pone.0036953","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0036953","We examined whether older adults differ from younger adults in the degree to which they favor immediate over delayed rewards during decision-making. To examine the neural correlates of age-related differences in delay discounting we acquired functional MR images while participants made decisions between smaller but sooner and larger but later monetary rewards. The behavioral results show age-related reductions in delay discounting. Less impulsive decision-making in older adults was associated with lower ventral striatal activations to immediate reward. Furthermore, older adults showed an overall higher percentage of delayed choices and reduced activity in the dorsal striatum than younger adults. This points to a reduced reward sensitivity of the dorsal striatum in older adults. Taken together, our findings indicate that less impulsive decision-making in older adults is due to a reduced sensitivity of striatal areas to reward. These age-related changes in reward sensitivity may result from transformations in dopaminergic neuromodulation with age.","2012-05-24","2022-03-11 13:17:57","2022-03-11 13:17:57","2022-03-11 13:17:57","e36953","","5","7","","PLOS ONE","","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=Zf5OPcEAAAAJ&amp;sortby=pubdate&amp;citation_for_view=Zf5OPcEAAAAJ:ZeXyd9-uunAC</p>","/Users/abagaini/Zotero/storage/EX54B8L7/Eppinger et al. - 2012 - Reduced Sensitivity to Immediate Reward during Dec.pdf; /Users/abagaini/Zotero/storage/ZNA33A6X/article.html","","","Behavior; Decision making; Functional magnetic resonance imaging; Neostriatum; Reaction time; Prefrontal cortex; Age groups; Elderly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NK2G724E","journalArticle","2018","Eppinger, Ben; Heekeren, Hauke R; Li, Shu-Chen","Age Differences in the Neural Mechanisms of Intertemporal Choice Under Subjective Decision Conflict","Cerebral Cortex","","1047-3211","10.1093/cercor/bhx239","https://doi.org/10.1093/cercor/bhx239","Older decision-makers may capitalize on their greater experiences in financial decisions and by this offset decline in cognitive abilities. However, this pattern of results should reverse in situations that place high demands on cognitive control functions. In this study, we investigated how decision conflict affects the neural mechanisms of intertemporal decision-making in younger and older adults. To individually adjust the level of decision conflict we determined the indifference point (IDP) in intertemporal decision-making for each participant. During functional magnetic resonance imaging, participants performed choice options close to their IDP (high conflict) or far away from the IDP (low conflict). In younger adults, decision conflict leads to reduced delay discounting and lower discount rates are associated with higher working memory (WM) capacity. In older adults, high decision conflict is associated with enhanced discounting, hypoactivation in the ventral striatum as well diminished ventral striatal representations of differences in subjective values. Taken together, our results show that under enhanced decision conflict, younger adults engage in a more reflective decision mode that reflects individual differences in WM capacity. In contrast, older adults get more present-oriented under high demands on cognitive control and this decision bias is associated with changes in striatal value signaling.","2018-11-01","2022-03-11 13:18:41","2022-03-11 13:39:57","2022-03-11 13:18:41","3764-3774","","11","28","","Cerebral Cortex","","","","","","","","","","","","","Silverchair","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=K1yPoIkAAAAJ&amp;cstart=20&amp;pagesize=80&amp;sortby=pubdate&amp;citation_for_view=K1yPoIkAAAAJ:8k3R5ScbChQC</p>","/Users/abagaini/Zotero/storage/AJUH2ZGH/Eppinger et al. - 2018 - Age Differences in the Neural Mechanisms of Intert.pdf; /Users/abagaini/Zotero/storage/BXBUQZ3R/Eppinger et al. - 2018 - Age Differences in the Neural Mechanisms of Intert.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6W6VB5G","journalArticle","2016","Garza, Kimberly B.; Ding, Meng; Owensby, Justin K.; Zizza, Claire A.","Impulsivity and Fast-Food Consumption: A Cross-Sectional Study among Working Adults","Journal of the Academy of Nutrition and Dietetics","","2212-2672","10.1016/j.jand.2015.05.003","https://www.sciencedirect.com/science/article/pii/S2212267215005407","Background Little is known about the decision-making process of adults who choose to eat at fast-food restaurants. Impulsivity is the concept that individuals value immediate rewards and disregard future costs. Objective To determine the association between impulsivity and consumption of fast food among employed adults and to explore their reasons for eating fast food. Design A cross-sectional, online survey was conducted; participants were recruited using a mass electronic mailing. Participants/setting Four hundred seventy-eight adults employed in a university setting completed the survey. Main outcome measures The association between frequency of fast-food consumption and impulsivity was assessed. Impulsivity is assessed by the area under the delay discounting curve (AUC). The AUC is estimated by using a binary choice delay discounting task incorporating hypothetical monetary rewards. Greater AUC reflects lower impulsivity. Statistical analyses performed Analysis of variance, Student’s t tests, and Pearson correlation coefficients were used to measure unadjusted associations among demographic variables, fast-food consumption, and AUC. Linear regression was used to assess whether AUC was a significant predictor of having consumed fast food in the past 7 days, controlling for age, total household income, and education. Results The majority (67%) of the participants reported eating one or more meals from a fast-food restaurant or pizza place in the past 7 days. The mean number of meals was 2.8±2.5 per week among those who reported eating at a fast-food restaurant or pizza place. Both fast-food consumption and body mass index (BMI) were correlated with greater impulsivity. Controlling for age, total household income, and education level, fast-food consumption was negatively related to AUC (P=0.017). The most commonly reported reasons for consuming fast food were convenience and to socialize. Conclusions These findings indicate that greater impulsivity was associated with greater fast-food consumption. Successful efforts to encourage healthful dietary behaviors might emphasize methods to overcome impulsivity, such as reward substitution and precommitment.","2016-01-01","2022-03-11 13:19:11","2022-03-11 13:19:11","2022-03-11 13:19:11","61-68","","1","116","","Journal of the Academy of Nutrition and Dietetics","Impulsivity and Fast-Food Consumption","","","","","","","en","","","","","ScienceDirect","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=2dbTyfEAAAAJ&amp;citation_for_view=2dbTyfEAAAAJ:ULOm3_A8WrAC</p>","","","","Impulsivity; Delay discounting; Convenience; Dietary behaviors; Fast food","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMWKWZYG","journalArticle","1994","Green, Leonard; Fry, Astrid F; Myerson, Joel","Discounting of Delayed Rewards: A Life-Span Comparison","Psychological Science","","0956-7976","10.1111/j.1467-9280.1994.tb00610.x","https://doi.org/10.1111/j.1467-9280.1994.tb00610.x","In this study, children, young adults, and older adults chose between immediate and delayed hypothetical monetary rewards The amount of the delayed reward was held constant while its delay was varied All three age groups showed delay discounting, that is, the amount of an immediate reward judged to be of equal value to the delayed reward decreased as a function of delay The rate of discounting was highest for children and lowest for older adults, predicting a life-span developmental trend toward increased self-control Discounting of delayed rewards by all three age groups was well described by a single function with age-sensitive parameters (all R2s > 94) Thus, even though there are quantitative age differences in delay discounting, the existence of an age-invariant form of discount function suggests that the process of choosing between rewards of different amounts and delays is qualitatively similar across the life span","1994-01-01","2022-03-11 13:19:39","2022-03-11 13:19:39","2022-03-11 13:19:39","33-36","","1","5","","Psychol Sci","Discounting of Delayed Rewards","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=UaqATywAAAAJ&amp;citation_for_view=UaqATywAAAAJ:d1gkVwhDpl0C</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
