reg_num,moderator,estimate,se,tval,ci_lb,ci_ub,pval,rho
1,intrcpt,0.909,1.239,0.733,-3.354,5.171,0.523,0.1
1,dec_diff,-0.121,0.218,-0.554,-0.832,0.59,0.62,0.1
2,intrcpt,1.299,1.619,0.803,-4.947,7.546,0.498,0.1
2,prop_female_gen,-1.992,2.731,-0.73,-13.323,9.339,0.539,0.1
3,cor_typeCOR,0.054,0.193,0.281,-0.776,0.884,0.805,0.1
3,cor_typeRPB,0.358,0.131,2.74,-0.06,0.776,0.072,0.1
4,effort_typecognitive,0.466,0.023,20.182,0.375,0.558,0.002,0.1
4,effort_typephysical,-0.067,0.062,-1.074,-0.411,0.277,0.418,0.1
5,domaingain,0.25,0.112,2.222,-0.026,0.525,0.068,0.1
5,domainloss,0.054,0.105,0.512,-0.208,0.316,0.628,0.1
1,intrcpt,0.91,1.237,0.735,-3.339,5.158,0.522,0.2
1,dec_diff,-0.121,0.218,-0.555,-0.83,0.588,0.619,0.2
2,intrcpt,1.291,1.614,0.8,-4.927,7.509,0.499,0.2
2,prop_female_gen,-1.977,2.724,-0.726,-13.25,9.295,0.541,0.2
3,cor_typeCOR,0.054,0.193,0.281,-0.776,0.884,0.805,0.2
3,cor_typeRPB,0.359,0.13,2.754,-0.058,0.775,0.071,0.2
4,effort_typecognitive,0.467,0.023,20.293,0.379,0.555,0.001,0.2
4,effort_typephysical,-0.077,0.061,-1.259,-0.38,0.227,0.351,0.2
5,domaingain,0.25,0.112,2.23,-0.025,0.525,0.067,0.2
5,domainloss,0.056,0.106,0.529,-0.206,0.318,0.617,0.2
1,intrcpt,0.911,1.235,0.737,-3.324,5.145,0.521,0.3
1,dec_diff,-0.121,0.218,-0.556,-0.828,0.586,0.618,0.3
2,intrcpt,1.285,1.61,0.798,-4.91,7.479,0.5,0.3
2,prop_female_gen,-1.967,2.718,-0.724,-13.193,9.258,0.542,0.3
3,cor_typeCOR,0.054,0.193,0.281,-0.776,0.884,0.805,0.3
3,cor_typeRPB,0.359,0.13,2.768,-0.056,0.774,0.07,0.3
4,effort_typecognitive,0.468,0.023,20.344,0.382,0.554,0.001,0.3
4,effort_typephysical,-0.081,0.059,-1.38,-0.362,0.199,0.313,0.3
5,domaingain,0.251,0.112,2.239,-0.024,0.525,0.067,0.3
5,domainloss,0.058,0.106,0.546,-0.205,0.32,0.606,0.3
1,intrcpt,0.912,1.233,0.74,-3.309,5.133,0.519,0.4
1,dec_diff,-0.121,0.217,-0.558,-0.827,0.584,0.617,0.4
2,intrcpt,1.281,1.606,0.798,-4.894,7.456,0.5,0.4
2,prop_female_gen,-1.961,2.713,-0.723,-13.149,9.227,0.542,0.4
3,cor_typeCOR,0.054,0.193,0.281,-0.776,0.884,0.805,0.4
3,cor_typeRPB,0.359,0.129,2.784,-0.054,0.772,0.07,0.4
4,effort_typecognitive,0.469,0.023,20.358,0.384,0.553,0.001,0.4
4,effort_typephysical,-0.084,0.057,-1.467,-0.35,0.182,0.289,0.4
5,domaingain,0.252,0.112,2.248,-0.023,0.526,0.066,0.4
5,domainloss,0.06,0.106,0.563,-0.203,0.322,0.595,0.4
1,intrcpt,0.913,1.231,0.742,-3.294,5.12,0.518,0.5
1,dec_diff,-0.121,0.217,-0.56,-0.825,0.582,0.616,0.5
2,intrcpt,1.279,1.603,0.798,-4.879,7.437,0.5,0.5
2,prop_female_gen,-1.957,2.709,-0.723,-13.114,9.2,0.542,0.5
3,cor_typeCOR,0.054,0.193,0.281,-0.776,0.884,0.805,0.5
3,cor_typeRPB,0.36,0.128,2.8,-0.052,0.771,0.069,0.5
4,effort_typecognitive,0.469,0.023,20.35,0.385,0.552,0.001,0.5
4,effort_typephysical,-0.086,0.056,-1.533,-0.342,0.17,0.272,0.5
5,domaingain,0.252,0.112,2.258,-0.021,0.526,0.065,0.5
5,domainloss,0.061,0.106,0.581,-0.201,0.324,0.584,0.5
1,intrcpt,0.915,1.229,0.745,-3.278,5.108,0.516,0.6
1,dec_diff,-0.122,0.217,-0.562,-0.824,0.58,0.615,0.6
2,intrcpt,1.278,1.599,0.799,-4.866,7.422,0.499,0.6
2,prop_female_gen,-1.956,2.705,-0.723,-13.087,9.176,0.542,0.6
3,cor_typeCOR,0.054,0.193,0.281,-0.776,0.884,0.805,0.6
3,cor_typeRPB,0.36,0.128,2.816,-0.05,0.77,0.068,0.6
4,effort_typecognitive,0.469,0.023,20.33,0.386,0.552,0.001,0.6
4,effort_typephysical,-0.088,0.055,-1.587,-0.336,0.161,0.259,0.6
5,domaingain,0.253,0.112,2.268,-0.02,0.526,0.064,0.6
5,domainloss,0.063,0.106,0.598,-0.2,0.327,0.573,0.6
1,intrcpt,0.917,1.226,0.747,-3.262,5.095,0.515,0.7
1,dec_diff,-0.122,0.216,-0.564,-0.822,0.578,0.614,0.7
2,intrcpt,1.278,1.596,0.801,-4.853,7.41,0.498,0.7
2,prop_female_gen,-1.956,2.701,-0.724,-13.066,9.155,0.541,0.7
3,cor_typeCOR,0.054,0.193,0.281,-0.776,0.884,0.805,0.7
3,cor_typeRPB,0.361,0.127,2.834,-0.047,0.769,0.067,0.7
4,effort_typecognitive,0.469,0.023,20.305,0.387,0.552,0.001,0.7
4,effort_typephysical,-0.089,0.054,-1.632,-0.332,0.154,0.249,0.7
5,domaingain,0.254,0.111,2.278,-0.019,0.527,0.063,0.7
5,domainloss,0.065,0.106,0.615,-0.198,0.329,0.562,0.7
1,intrcpt,0.918,1.224,0.75,-3.246,5.083,0.513,0.8
1,dec_diff,-0.122,0.216,-0.566,-0.82,0.576,0.612,0.8
