reg_num,moderator,estimate,se,tval,ci_lb,ci_ub,pval,rho
1,intrcpt,-0.023,0.081,-0.286,-0.19,0.144,0.778,0.1
1,dec_diff,0.001,0.014,0.075,-0.028,0.03,0.941,0.1
2,intrcpt,-0.01,0.128,-0.075,-0.292,0.273,0.942,0.1
2,prop_female_gen,-0.028,0.231,-0.122,-0.55,0.493,0.906,0.1
3,cor_typeCOR,-0.015,0.019,-0.799,-0.055,0.025,0.433,0.1
3,cor_typeRPB,-0.03,0.032,-0.936,-0.096,0.035,0.356,0.1
4,study_designcontinuous,-0.039,0.02,-1.914,-0.082,0.004,0.074,0.1
4,study_designextreme_group,-0.019,0.027,-0.691,-0.073,0.036,0.494,0.1
5,incentivizationhypothetical,-0.024,0.025,-0.963,-0.077,0.029,0.348,0.1
5,incentivizationincentivized,0.002,0.027,0.091,-0.053,0.058,0.928,0.1
6,domaingain,-0.055,0.023,-2.359,-0.101,-0.008,0.023,0.1
6,domainloss,0.02,0.043,0.456,-0.071,0.11,0.653,0.1
6,domainmixed,0.012,0.036,0.323,-0.064,0.087,0.75,0.1
7,task_typedescription,-0.016,0.024,-0.665,-0.064,0.032,0.509,0.1
7,task_typeexperience,-0.049,0.039,-1.269,-0.132,0.034,0.224,0.1
8,study_contextin-person,-0.03,0.026,-1.165,-0.081,0.022,0.25,0.1
8,study_contextonline,-0.005,0.023,-0.204,-0.055,0.045,0.842,0.1
1,intrcpt,-0.022,0.081,-0.276,-0.19,0.145,0.785,0.2
1,dec_diff,0.001,0.014,0.065,-0.028,0.03,0.949,0.2
2,intrcpt,-0.009,0.128,-0.073,-0.293,0.275,0.943,0.2
2,prop_female_gen,-0.028,0.232,-0.123,-0.553,0.496,0.905,0.2
3,cor_typeCOR,-0.016,0.019,-0.816,-0.055,0.024,0.423,0.2
3,cor_typeRPB,-0.03,0.033,-0.923,-0.096,0.036,0.362,0.2
4,study_designcontinuous,-0.039,0.02,-1.911,-0.082,0.004,0.074,0.2
4,study_designextreme_group,-0.019,0.027,-0.685,-0.073,0.036,0.497,0.2
5,incentivizationhypothetical,-0.024,0.025,-0.969,-0.077,0.029,0.346,0.2
5,incentivizationincentivized,0.002,0.027,0.091,-0.053,0.058,0.928,0.2
6,domaingain,-0.055,0.023,-2.356,-0.101,-0.008,0.023,0.2
6,domainloss,0.02,0.044,0.447,-0.072,0.111,0.66,0.2
6,domainmixed,0.012,0.036,0.328,-0.064,0.087,0.746,0.2
7,task_typedescription,-0.016,0.024,-0.657,-0.064,0.033,0.515,0.2
7,task_typeexperience,-0.05,0.039,-1.274,-0.133,0.033,0.222,0.2
8,study_contextin-person,-0.03,0.026,-1.162,-0.081,0.022,0.251,0.2
8,study_contextonline,-0.005,0.023,-0.198,-0.055,0.045,0.847,0.2
1,intrcpt,-0.022,0.081,-0.265,-0.19,0.147,0.793,0.3
1,dec_diff,0.001,0.014,0.055,-0.028,0.03,0.956,0.3
2,intrcpt,-0.009,0.129,-0.071,-0.294,0.276,0.945,0.3
2,prop_female_gen,-0.029,0.233,-0.124,-0.556,0.498,0.904,0.3
3,cor_typeCOR,-0.016,0.019,-0.833,-0.055,0.024,0.414,0.3
3,cor_typeRPB,-0.03,0.033,-0.912,-0.097,0.037,0.368,0.3
4,study_designcontinuous,-0.039,0.02,-1.908,-0.081,0.004,0.075,0.3
4,study_designextreme_group,-0.018,0.027,-0.679,-0.073,0.036,0.501,0.3
5,incentivizationhypothetical,-0.024,0.025,-0.974,-0.077,0.028,0.343,0.3
5,incentivizationincentivized,0.002,0.027,0.09,-0.053,0.058,0.929,0.3
6,domaingain,-0.054,0.023,-2.355,-0.101,-0.008,0.023,0.3
6,domainloss,0.019,0.044,0.437,-0.072,0.111,0.666,0.3
6,domainmixed,0.012,0.036,0.334,-0.064,0.088,0.742,0.3
7,task_typedescription,-0.016,0.024,-0.649,-0.064,0.033,0.52,0.3
7,task_typeexperience,-0.05,0.039,-1.279,-0.133,0.033,0.22,0.3
8,study_contextin-person,-0.03,0.026,-1.16,-0.082,0.022,0.252,0.3
8,study_contextonline,-0.004,0.023,-0.192,-0.054,0.046,0.851,0.3
1,intrcpt,-0.021,0.081,-0.255,-0.19,0.148,0.801,0.4
1,dec_diff,0.001,0.014,0.046,-0.028,0.03,0.964,0.4
2,intrcpt,-0.009,0.129,-0.068,-0.295,0.277,0.947,0.4
2,prop_female_gen,-0.029,0.234,-0.125,-0.559,0.501,0.903,0.4
3,cor_typeCOR,-0.016,0.019,-0.849,-0.055,0.023,0.405,0.4
3,cor_typeRPB,-0.03,0.033,-0.901,-0.097,0.037,0.374,0.4
4,study_designcontinuous,-0.038,0.02,-1.904,-0.081,0.004,0.076,0.4
4,study_designextreme_group,-0.018,0.027,-0.674,-0.074,0.037,0.504,0.4
5,incentivizationhypothetical,-0.024,0.025,-0.979,-0.077,0.028,0.341,0.4
5,incentivizationincentivized,0.002,0.027,0.089,-0.054,0.058,0.93,0.4
6,domaingain,-0.054,0.023,-2.354,-0.101,-0.008,0.023,0.4
6,domainloss,0.019,0.044,0.428,-0.073,0.111,0.673,0.4
6,domainmixed,0.012,0.036,0.339,-0.063,0.088,0.738,0.4
7,task_typedescription,-0.016,0.024,-0.641,-0.064,0.033,0.525,0.4
7,task_typeexperience,-0.05,0.039,-1.284,-0.134,0.033,0.219,0.4
8,study_contextin-person,-0.03,0.026,-1.158,-0.082,0.022,0.253,0.4
8,study_contextonline,-0.004,0.023,-0.185,-0.054,0.046,0.856,0.4
1,intrcpt,-0.02,0.082,-0.244,-0.189,0.149,0.809,0.5
1,dec_diff,0,0.014,0.035,-0.029,0.03,0.972,0.5
2,intrcpt,-0.009,0.129,-0.066,-0.296,0.279,0.949,0.5
2,prop_female_gen,-0.03,0.235,-0.126,-0.562,0.503,0.902,0.5
3,cor_typeCOR,-0.016,0.019,-0.864,-0.055,0.023,0.396,0.5
3,cor_typeRPB,-0.03,0.033,-0.891,-0.097,0.038,0.379,0.5
4,study_designcontinuous,-0.038,0.02,-1.901,-0.081,0.005,0.076,0.5
4,study_designextreme_group,-0.018,0.027,-0.67,-0.074,0.037,0.507,0.5
5,incentivizationhypothetical,-0.024,0.025,-0.983,-0.076,0.028,0.339,0.5
5,incentivizationincentivized,0.002,0.028,0.088,-0.054,0.058,0.93,0.5
6,domaingain,-0.054,0.023,-2.354,-0.101,-0.008,0.023,0.5
6,domainloss,0.019,0.044,0.42,-0.074,0.111,0.679,0.5
6,domainmixed,0.012,0.036,0.345,-0.063,0.088,0.734,0.5
7,task_typedescription,-0.015,0.024,-0.634,-0.064,0.034,0.529,0.5
7,task_typeexperience,-0.051,0.039,-1.288,-0.134,0.033,0.217,0.5
8,study_contextin-person,-0.03,0.026,-1.157,-0.082,0.022,0.254,0.5
8,study_contextonline,-0.004,0.023,-0.178,-0.054,0.046,0.862,0.5
1,intrcpt,-0.019,0.082,-0.234,-0.189,0.151,0.817,0.6
1,dec_diff,0,0.014,0.025,-0.029,0.029,0.98,0.6
2,intrcpt,-0.008,0.13,-0.063,-0.296,0.28,0.951,0.6
2,prop_female_gen,-0.03,0.236,-0.128,-0.565,0.505,0.901,0.6
3,cor_typeCOR,-0.016,0.019,-0.88,-0.055,0.022,0.388,0.6
3,cor_typeRPB,-0.029,0.033,-0.881,-0.097,0.038,0.384,0.6
4,study_designcontinuous,-0.038,0.02,-1.897,-0.08,0.005,0.077,0.6
4,study_designextreme_group,-0.018,0.028,-0.666,-0.074,0.037,0.509,0.6
5,incentivizationhypothetical,-0.024,0.025,-0.986,-0.076,0.028,0.338,0.6
5,incentivizationincentivized,0.002,0.028,0.087,-0.054,0.059,0.931,0.6
6,domaingain,-0.054,0.023,-2.354,-0.101,-0.008,0.023,0.6
6,domainloss,0.018,0.045,0.412,-0.075,0.111,0.685,0.6
6,domainmixed,0.013,0.036,0.352,-0.063,0.088,0.729,0.6
7,task_typedescription,-0.015,0.024,-0.628,-0.064,0.034,0.533,0.6
7,task_typeexperience,-0.051,0.039,-1.292,-0.135,0.033,0.216,0.6
8,study_contextin-person,-0.03,0.026,-1.156,-0.082,0.022,0.254,0.6
8,study_contextonline,-0.004,0.023,-0.171,-0.054,0.046,0.867,0.6
1,intrcpt,-0.018,0.082,-0.223,-0.189,0.152,0.826,0.7
