reg_num,moderator,estimate,se,tval,ci_lb,ci_ub,pval,rho
1,intrcpt,0.447,0.235,1.906,-0.1,0.994,0.095,0.1
1,dec_diff,-0.059,0.046,-1.286,-0.166,0.048,0.237,0.1
2,intrcpt,0.094,0.12,0.783,-0.387,0.575,0.51,0.1
2,prop_female_gen,0.036,0.256,0.142,-0.855,0.928,0.897,0.1
3,cor_typeCOR,0.054,0.075,0.726,-0.12,0.229,0.489,0.1
3,cor_typeRPB,0.172,0.05,3.403,0.054,0.289,0.01,0.1
4,study_designcontinuous,0.123,0.05,2.471,0.005,0.242,0.044,0.1
4,study_designextreme_group,0.105,0.077,1.365,-0.071,0.282,0.207,0.1
5,incentivizationhypothetical,0.115,0.082,1.416,-0.07,0.301,0.192,0.1
5,incentivizationincentivized,0.108,0.048,2.266,-0.006,0.223,0.059,0.1
6,study_contextin-person,0.122,0.056,2.168,-0,0.243,0.05,0.1
6,study_contextonline,0.087,0.099,0.887,-0.231,0.406,0.442,0.1
1,intrcpt,0.446,0.235,1.902,-0.101,0.993,0.096,0.2
1,dec_diff,-0.059,0.046,-1.283,-0.166,0.048,0.238,0.2
2,intrcpt,0.095,0.12,0.785,-0.387,0.576,0.509,0.2
2,prop_female_gen,0.035,0.256,0.137,-0.858,0.928,0.901,0.2
3,cor_typeCOR,0.054,0.075,0.726,-0.12,0.229,0.49,0.2
3,cor_typeRPB,0.171,0.05,3.393,0.053,0.289,0.01,0.2
4,study_designcontinuous,0.123,0.05,2.472,0.005,0.242,0.044,0.2
4,study_designextreme_group,0.105,0.077,1.354,-0.072,0.281,0.211,0.2
5,incentivizationhypothetical,0.115,0.082,1.404,-0.071,0.301,0.195,0.2
5,incentivizationincentivized,0.109,0.048,2.266,-0.006,0.223,0.059,0.2
6,study_contextin-person,0.121,0.056,2.159,-0.001,0.243,0.051,0.2
6,study_contextonline,0.087,0.098,0.884,-0.23,0.403,0.443,0.2
1,intrcpt,0.445,0.234,1.898,-0.102,0.992,0.097,0.3
1,dec_diff,-0.059,0.046,-1.279,-0.166,0.049,0.239,0.3
2,intrcpt,0.095,0.121,0.787,-0.388,0.578,0.508,0.3
2,prop_female_gen,0.034,0.257,0.131,-0.861,0.929,0.905,0.3
3,cor_typeCOR,0.054,0.075,0.725,-0.12,0.229,0.49,0.3
3,cor_typeRPB,0.171,0.05,3.383,0.053,0.288,0.011,0.3
4,study_designcontinuous,0.123,0.05,2.473,0.005,0.242,0.044,0.3
