moderator,est,se,tval,pval,ci95
dec_diff,-0.059,0.046,-1.274,0.241," [-0.166, 0.049]"
prop_female_gen,0.031,0.257,0.12,0.913," [-0.867, 0.929]"
cor_typeCOR,0.054,0.075,0.724,0.491," [-0.121, 0.23]"
cor_typeRPB,0.17,0.05,3.364,0.011," [0.052, 0.287]"
study_designcontinuous,0.123,0.05,2.476,0.043," [0.005, 0.242]"
study_designextreme_group,0.103,0.078,1.319,0.221," [-0.075, 0.28]"
incentivizationhypothetical,0.113,0.082,1.372,0.205," [-0.074, 0.3]"
incentivizationincentivized,0.109,0.048,2.268,0.059," [-0.006, 0.223]"
study_contextin-person,0.121,0.056,2.134,0.053," [-0.002, 0.243]"
study_contextonline,0.085,0.097,0.877,0.447," [-0.227, 0.396]"
